Time(S),GPU0_Power(W)
0.14,141.99
0.14,142.56
0.34,143.57
0.54,143.83
0.74,143.93
0.94,143.95
1.14,143.93
1.34,132.89
1.54,120.52
1.74,107.31
1.94,95.58
2.14,82.92
2.34,80.17
2.54,80.01
2.74,79.71
2.94,79.56
3.14,79.47
3.34,79.29
3.54,79.24
3.74,79.11
3.94,79.0
4.14,78.98
4.34,78.84
4.54,78.65
5.04,78.57
5.55,78.51
5.75,89.0
5.95,101.2
6.15,110.94
6.35,123.16
6.55,134.7
6.75,137.23
6.95,136.62
7.15,136.7
7.35,137.17
7.90,137.36
8.10,137.41
8.30,137.66
8.64,137.83
8.92,137.99
9.12,138.06
9.32,138.32
9.52,139.23
9.72,140.24
9.92,140.51
10.12,140.27
10.54,142.14
10.74,143.11
10.94,144.42
11.14,145.16
11.39,146.67
11.59,144.5
11.79,144.66
11.99,141.64
12.19,141.61
12.39,139.82
12.59,139.68
12.79,139.78
12.99,139.79
13.19,139.8
13.39,140.66
