Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.00,133.0,126.0,147.0,129.0
0.00,133.0,126.0,147.0,129.0
0.20,106.0,99.0,119.0,109.0
0.40,85.0,78.0,96.0,87.0
0.60,133.0,115.0,129.0,119.0
0.80,135.0,93.0,109.0,99.0
1.00,136.0,77.0,95.0,85.0
1.20,133.0,75.0,134.0,84.0
1.40,133.0,74.0,140.0,83.0
1.60,101.0,74.0,142.0,83.0
1.80,112.0,74.0,142.0,83.0
2.00,130.0,74.0,141.0,83.0
2.20,132.0,74.0,141.0,83.0
2.40,133.0,74.0,142.0,83.0
2.60,133.0,74.0,141.0,83.0
2.80,133.0,74.0,141.0,83.0
3.00,139.0,121.0,147.0,125.0
3.20,133.0,83.0,142.0,91.0
3.40,133.0,76.0,141.0,84.0
3.60,133.0,75.0,141.0,83.0
3.80,101.0,74.0,141.0,83.0
4.00,85.0,74.0,142.0,83.0
4.20,82.0,74.0,142.0,83.0
4.40,114.0,75.0,144.0,84.0
4.60,130.0,74.0,145.0,83.0
4.80,104.0,74.0,144.0,83.0
5.00,85.0,74.0,144.0,83.0
5.20,82.0,74.0,145.0,83.0
5.40,82.0,74.0,145.0,83.0
5.60,82.0,74.0,144.0,83.0
5.80,82.0,74.0,145.0,83.0
6.00,82.0,74.0,146.0,83.0
6.20,82.0,74.0,144.0,83.0
6.40,82.0,74.0,144.0,83.0
6.60,82.0,74.0,145.0,83.0
6.80,82.0,74.0,145.0,83.0
7.00,82.0,74.0,145.0,83.0
7.20,82.0,74.0,145.0,83.0
7.40,82.0,74.0,144.0,83.0
7.60,82.0,74.0,144.0,83.0
7.80,82.0,74.0,145.0,83.0
8.00,87.0,74.0,146.0,83.0
8.20,126.0,74.0,145.0,83.0
8.40,131.0,74.0,144.0,83.0
8.60,132.0,74.0,144.0,83.0
8.80,101.0,74.0,145.0,83.0
9.00,85.0,74.0,146.0,83.0
9.20,82.0,74.0,145.0,83.0
9.40,82.0,74.0,142.0,83.0
9.60,82.0,74.0,141.0,110.0
9.80,82.0,74.0,141.0,88.0
10.00,82.0,74.0,141.0,84.0
10.20,82.0,74.0,141.0,83.0
10.40,116.0,74.0,143.0,83.0
10.60,135.0,74.0,144.0,83.0
10.80,101.0,74.0,143.0,83.0
11.00,84.0,74.0,143.0,83.0
11.20,88.0,82.0,145.0,83.0
11.40,95.0,86.0,109.0,83.0
11.60,133.0,126.0,146.0,122.0
11.80,115.0,89.0,106.0,94.0
12.00,131.0,76.0,94.0,85.0
12.20,134.0,76.0,93.0,83.0
12.40,133.0,90.0,93.0,83.0
12.60,134.0,76.0,126.0,83.0
12.80,134.0,108.0,129.0,105.0
13.00,134.0,117.0,97.0,86.0
13.20,134.0,111.0,128.0,84.0
13.40,134.0,79.0,138.0,83.0
13.60,136.0,117.0,138.0,119.0
13.80,134.0,88.0,99.0,95.0
14.00,134.0,112.0,93.0,85.0
14.20,134.0,79.0,114.0,83.0
14.40,134.0,103.0,127.0,99.0
14.61,135.0,86.0,97.0,91.0
14.81,134.0,122.0,131.0,100.0
15.01,134.0,85.0,138.0,85.0
15.21,137.0,107.0,143.0,109.0
15.41,134.0,117.0,104.0,113.0
15.61,134.0,87.0,94.0,87.0
15.81,133.0,93.0,93.0,84.0
16.01,135.0,77.0,117.0,83.0
16.36,135.0,113.0,138.0,86.0
16.56,134.0,80.0,138.0,84.0
16.76,134.0,75.0,138.0,83.0
16.96,133.0,75.0,138.0,83.0
17.16,133.0,74.0,110.0,83.0
17.36,134.0,74.0,95.0,83.0
17.56,133.0,74.0,93.0,83.0
17.76,133.0,74.0,92.0,83.0
17.96,133.0,74.0,92.0,83.0
18.16,133.0,74.0,93.0,83.0
18.36,133.0,74.0,92.0,83.0
18.56,133.0,74.0,92.0,83.0
18.76,133.0,74.0,92.0,83.0
18.96,133.0,74.0,92.0,83.0
19.16,133.0,74.0,92.0,83.0
19.36,133.0,74.0,92.0,83.0
19.56,133.0,74.0,92.0,83.0
19.76,133.0,74.0,92.0,83.0
19.96,133.0,74.0,127.0,83.0
20.16,133.0,74.0,97.0,83.0
20.36,133.0,74.0,112.0,83.0
20.56,134.0,105.0,136.0,110.0
20.76,127.0,80.0,138.0,88.0
20.96,88.0,75.0,100.0,84.0
21.16,137.0,122.0,140.0,123.0
21.36,140.0,97.0,143.0,131.0
21.56,131.0,107.0,143.0,92.0
21.76,109.0,89.0,151.0,84.0
21.96,108.0,77.0,149.0,84.0
22.16,131.0,75.0,148.0,83.0
22.36,134.0,76.0,165.0,83.0
22.56,133.0,109.0,160.0,104.0
22.77,163.0,155.0,172.0,153.0
22.97,172.0,168.0,178.0,167.0
23.17,164.0,162.0,170.0,157.0
23.37,166.0,153.0,173.0,155.0
23.57,160.0,156.0,176.0,157.0
23.77,137.0,103.0,150.0,113.0
23.97,133.0,79.0,170.0,87.0
24.17,138.0,103.0,157.0,108.0
24.37,166.0,155.0,180.0,157.0
24.57,163.0,140.0,170.0,141.0
24.77,112.0,89.0,149.0,97.0
24.97,131.0,116.0,147.0,119.0
25.17,152.0,143.0,158.0,142.0
25.37,152.0,144.0,157.0,144.0
25.57,152.0,142.0,154.0,141.0
25.77,166.0,155.0,167.0,155.0
25.97,144.0,106.0,151.0,111.0
26.17,143.0,119.0,148.0,122.0
26.37,154.0,144.0,158.0,144.0
26.57,153.0,145.0,157.0,145.0
26.77,150.0,142.0,154.0,142.0
26.97,165.0,156.0,169.0,156.0
27.17,124.0,106.0,151.0,111.0
27.37,128.0,119.0,148.0,122.0
27.57,153.0,145.0,160.0,145.0
27.77,152.0,145.0,157.0,144.0
27.97,153.0,144.0,156.0,143.0
28.17,167.0,158.0,170.0,158.0
28.37,119.0,102.0,150.0,107.0
28.57,131.0,122.0,148.0,124.0
28.77,151.0,143.0,156.0,143.0
28.97,153.0,144.0,157.0,144.0
29.17,165.0,154.0,166.0,155.0
29.37,164.0,156.0,167.0,155.0
29.57,144.0,104.0,151.0,110.0
29.77,138.0,111.0,150.0,115.0
29.97,154.0,144.0,161.0,145.0
30.17,156.0,150.0,161.0,149.0
30.37,154.0,148.0,160.0,147.0
30.57,152.0,145.0,156.0,145.0
30.77,147.0,122.0,155.0,126.0
30.97,138.0,110.0,148.0,114.0
31.17,159.0,150.0,166.0,150.0
31.37,156.0,149.0,162.0,149.0
31.57,153.0,146.0,157.0,145.0
31.77,153.0,145.0,158.0,145.0
31.97,129.0,111.0,153.0,116.0
32.17,124.0,116.0,149.0,119.0
32.37,154.0,148.0,162.0,147.0
32.57,153.0,147.0,159.0,147.0
32.77,150.0,144.0,155.0,144.0
32.97,166.0,158.0,170.0,159.0
33.17,126.0,123.0,151.0,110.0
33.37,129.0,123.0,148.0,124.0
33.57,152.0,145.0,158.0,145.0
33.77,151.0,145.0,157.0,145.0
33.97,165.0,158.0,170.0,157.0
34.17,161.0,154.0,166.0,154.0
34.37,143.0,97.0,149.0,103.0
34.57,143.0,124.0,149.0,127.0
34.77,152.0,143.0,157.0,143.0
34.97,151.0,144.0,156.0,144.0
35.17,165.0,158.0,169.0,156.0
35.37,164.0,156.0,168.0,156.0
35.57,143.0,99.0,150.0,105.0
35.77,143.0,125.0,148.0,127.0
35.97,150.0,142.0,155.0,142.0
36.17,156.0,147.0,160.0,148.0
36.37,166.0,156.0,168.0,157.0
36.57,160.0,153.0,164.0,154.0
36.77,111.0,96.0,150.0,103.0
36.97,127.0,120.0,148.0,123.0
37.17,148.0,141.0,155.0,141.0
37.37,165.0,158.0,171.0,158.0
37.57,159.0,152.0,166.0,152.0
37.77,156.0,149.0,161.0,149.0
37.97,142.0,92.0,148.0,100.0
38.17,152.0,135.0,156.0,138.0
38.37,164.0,148.0,162.0,149.0
38.57,166.0,157.0,170.0,158.0
38.77,159.0,151.0,164.0,152.0
38.97,155.0,148.0,161.0,149.0
39.17,110.0,92.0,148.0,99.0
39.37,138.0,128.0,149.0,130.0
39.57,142.0,121.0,136.0,125.0
39.77,130.0,123.0,134.0,125.0
39.97,170.0,164.0,175.0,165.0
40.17,126.0,106.0,152.0,112.0
40.37,130.0,85.0,148.0,92.0
40.57,138.0,82.0,150.0,90.0
40.77,118.0,81.0,150.0,89.0
40.97,137.0,81.0,150.0,89.0
41.17,135.0,81.0,148.0,89.0
41.37,128.0,76.0,148.0,85.0
41.57,89.0,93.0,145.0,84.0
41.77,117.0,124.0,146.0,111.0
41.97,99.0,83.0,145.0,91.0
42.17,85.0,76.0,149.0,85.0
42.37,83.0,75.0,146.0,83.0
42.57,82.0,75.0,146.0,83.0
42.77,82.0,75.0,146.0,83.0
42.97,85.0,80.0,166.0,87.0
43.17,117.0,111.0,166.0,116.0
43.37,134.0,130.0,160.0,131.0
43.57,102.0,92.0,149.0,95.0
43.77,101.0,77.0,148.0,85.0
