Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.13,122.4,146.48,117.25,129.07
0.13,122.45,146.49,117.27,129.16
0.33,122.5,146.56,117.24,129.18
0.53,122.46,146.53,117.25,129.1
0.73,122.51,146.64,117.16,128.96
0.93,122.33,145.58,117.14,119.77
1.13,122.21,130.3,106.48,106.55
1.33,122.17,118.03,97.43,95.56
1.53,122.12,104.43,88.12,84.4
1.73,118.06,91.29,78.08,73.96
1.93,107.25,81.55,69.84,73.69
2.14,97.34,81.12,69.66,73.51
2.34,87.11,80.86,69.56,73.5
2.55,77.36,80.61,69.52,73.42
2.76,72.47,80.45,69.5,73.45
2.96,72.36,80.28,69.47,73.47
3.17,72.28,80.14,69.47,73.4
3.38,72.28,80.06,69.46,73.45
3.59,72.27,79.95,69.45,73.37
3.79,72.25,79.79,69.47,73.39
4.00,72.25,79.67,69.47,73.38
4.20,72.25,79.59,69.45,73.29
4.44,72.29,79.36,69.46,73.33
5.16,72.26,79.15,69.45,73.26
5.56,72.16,78.82,71.25,73.29
6.70,72.15,78.66,72.96,73.31
7.49,72.15,78.64,72.96,73.27
7.69,72.14,78.61,72.95,73.31
7.89,72.15,78.6,72.47,73.24
8.10,72.17,78.51,71.77,73.25
8.31,72.15,78.37,70.53,73.16
8.69,82.67,78.34,69.63,73.23
8.93,92.64,78.35,69.4,73.16
9.14,101.48,78.3,69.4,73.22
9.34,111.17,78.34,69.41,73.23
9.54,117.7,78.34,69.42,73.13
10.55,117.68,78.31,69.39,73.08
10.87,117.71,78.31,69.4,73.13
11.09,117.72,78.32,69.41,73.06
11.30,117.72,78.26,69.37,73.07
11.50,117.71,78.25,69.39,73.05
11.71,117.73,78.22,69.39,73.03
11.95,117.82,81.07,69.35,73.03
12.22,117.78,93.05,69.37,73.02
12.42,117.73,106.45,70.75,73.06
12.65,117.71,118.4,80.03,73.04
12.85,117.61,128.7,89.07,75.6
13.05,117.64,136.16,96.06,84.24
13.25,118.27,136.01,105.08,95.32
13.45,120.06,136.68,113.27,104.43
13.65,120.07,136.95,114.07,114.62
13.85,120.07,137.2,113.6,124.84
14.05,120.2,137.45,113.61,124.89
14.25,117.87,137.0,112.78,124.24
14.70,117.89,137.14,112.79,124.24
14.90,117.86,137.36,112.83,124.21
15.16,118.0,137.75,113.9,125.47
15.36,119.3,139.33,114.72,126.24
15.56,119.36,139.45,114.79,126.23
15.76,119.48,139.62,114.93,126.37
15.96,121.0,140.2,115.54,126.81
16.16,120.92,140.01,115.05,126.85
16.36,124.23,142.72,117.75,129.06
16.56,129.51,146.63,121.24,132.82
16.76,131.06,148.35,122.89,134.34
17.04,131.64,148.54,123.02,134.41
17.24,132.16,148.9,123.66,134.69
17.44,131.2,147.94,121.89,133.43
17.64,129.15,146.94,121.69,132.93
17.89,131.53,149.42,122.72,134.8
18.09,132.1,149.67,122.89,135.11
18.29,134.44,151.57,124.62,136.53
18.49,134.32,151.74,124.62,136.26
18.78,134.37,151.41,124.05,135.76
18.98,132.34,149.75,122.72,134.48
19.18,132.47,150.27,123.02,134.59
19.38,133.23,151.43,124.55,135.88
19.58,138.38,155.04,127.61,138.93
19.78,135.16,152.43,124.73,136.2
19.98,134.07,152.29,124.56,136.3
20.18,137.98,154.5,126.83,138.61
20.38,132.54,150.71,122.76,135.02
20.66,130.82,149.66,121.48,133.18
21.04,128.72,148.51,120.77,132.42
21.24,125.4,146.85,118.65,130.41
21.44,131.43,151.03,122.8,133.93
21.64,132.03,151.13,123.15,134.37
21.84,131.5,150.25,122.46,133.44
22.04,129.11,149.13,121.0,132.51
22.24,127.6,147.37,119.28,130.95
22.44,122.99,143.97,115.96,128.14
22.64,118.14,141.05,112.97,124.71
22.84,118.09,141.05,112.96,124.64
23.04,118.08,141.09,112.97,124.68
23.24,118.08,141.09,112.96,124.68
23.44,118.83,141.9,113.68,125.05
23.65,119.49,142.6,114.26,125.59
