Time(S),GPU0_Power(W)
0.26,264.17
0.26,262.86
0.51,267.29
0.76,265.78
1.03,262.22
1.29,266.29
1.55,269.76
1.80,269.70
2.05,267.93
2.30,268.32
2.55,264.17
2.81,268.66
3.07,267.09
3.32,263.79
3.58,268.45
3.83,262.68
4.08,263.18
4.34,263.02
4.60,263.84
4.85,270.10
5.10,262.91
5.35,264.66
5.61,271.80
5.90,274.81
6.15,265.40
6.40,266.98
6.65,268.33
6.93,271.85
7.22,286.97
7.49,270.83
7.78,279.74
8.07,318.96
8.35,269.61
8.63,272.00
8.91,276.74
9.16,270.06
9.41,268.00
9.67,277.38
9.93,267.78
10.18,265.43
10.44,267.58
10.70,264.75
