Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.00,137.0,127.0,148.0,130.0
0.00,137.0,127.0,148.0,130.0
0.20,112.0,100.0,122.0,107.0
0.40,86.0,78.0,97.0,86.0
0.60,134.0,115.0,129.0,120.0
0.80,135.0,93.0,109.0,99.0
1.00,136.0,77.0,95.0,85.0
1.20,133.0,75.0,134.0,83.0
1.40,133.0,75.0,140.0,83.0
1.60,133.0,75.0,142.0,83.0
1.80,123.0,74.0,142.0,83.0
2.00,131.0,74.0,141.0,83.0
2.20,133.0,74.0,141.0,83.0
2.40,133.0,74.0,142.0,83.0
2.60,133.0,74.0,141.0,83.0
2.80,133.0,74.0,142.0,83.0
3.00,143.0,118.0,151.0,121.0
3.20,112.0,88.0,143.0,95.0
3.40,86.0,76.0,142.0,85.0
3.60,83.0,75.0,141.0,83.0
3.80,82.0,74.0,141.0,83.0
4.00,82.0,74.0,141.0,83.0
4.20,117.0,74.0,142.0,83.0
4.40,131.0,75.0,143.0,84.0
4.60,132.0,74.0,145.0,83.0
4.80,113.0,74.0,145.0,83.0
5.00,86.0,74.0,144.0,83.0
5.20,83.0,74.0,145.0,83.0
5.40,82.0,74.0,145.0,83.0
5.60,82.0,74.0,144.0,83.0
5.80,82.0,74.0,145.0,83.0
6.00,82.0,74.0,146.0,83.0
6.20,82.0,74.0,144.0,83.0
6.40,82.0,74.0,145.0,83.0
6.60,82.0,74.0,145.0,83.0
6.80,82.0,74.0,145.0,83.0
7.00,82.0,74.0,145.0,83.0
7.20,82.0,74.0,145.0,83.0
7.40,82.0,74.0,144.0,83.0
7.60,82.0,74.0,144.0,83.0
7.80,82.0,74.0,145.0,83.0
8.00,82.0,74.0,145.0,83.0
8.20,82.0,74.0,145.0,83.0
8.40,82.0,74.0,145.0,83.0
8.60,82.0,74.0,144.0,83.0
8.80,82.0,74.0,145.0,83.0
9.00,82.0,85.0,145.0,83.0
9.20,98.0,85.0,144.0,83.0
9.40,110.0,76.0,142.0,83.0
9.60,86.0,75.0,141.0,83.0
9.80,83.0,74.0,141.0,83.0
10.00,82.0,74.0,141.0,83.0
10.20,82.0,74.0,141.0,83.0
10.40,115.0,74.0,143.0,83.0
10.60,126.0,74.0,143.0,83.0
10.80,131.0,74.0,143.0,83.0
11.00,123.0,74.0,132.0,83.0
11.20,99.0,84.0,112.0,92.0
11.40,133.0,124.0,141.0,128.0
11.60,134.0,127.0,130.0,129.0
11.80,134.0,127.0,98.0,129.0
12.00,134.0,84.0,93.0,129.0
12.20,134.0,83.0,132.0,130.0
12.40,134.0,122.0,115.0,130.0
12.60,135.0,96.0,105.0,130.0
12.81,134.0,77.0,135.0,128.0
13.01,138.0,95.0,145.0,132.0
