Time(S),GPU0_Power(W)
0.02,82.4
0.02,82.4
0.22,82.42
0.42,82.32
0.62,82.26
0.82,82.36
1.02,82.4
1.22,82.49
1.42,82.55
1.62,82.62
1.82,82.57
2.02,82.51
2.22,82.47
2.42,82.53
2.62,82.57
2.82,82.53
3.02,82.47
3.22,82.49
3.42,82.45
3.62,82.49
3.82,82.51
4.02,82.59
4.22,82.57
4.42,82.58
4.62,82.52
4.82,82.49
5.02,82.51
5.22,82.5
5.42,82.5
5.62,82.49
5.82,82.55
6.02,82.46
6.22,82.48
6.42,82.44
6.62,82.43
6.82,84.78
7.02,89.42
7.22,98.53
7.43,107.51
7.63,118.07
7.83,133.34
8.03,136.69
8.23,136.6
8.43,135.88
8.63,134.58
8.83,128.18
9.03,126.52
9.23,126.53
9.43,126.58
9.63,126.72
