Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.13,122.13,142.65,116.89,128.58
0.13,122.12,142.7,116.92,128.65
0.33,122.11,142.75,116.91,128.68
0.53,122.02,142.86,116.95,128.65
0.73,122.05,143.0,116.9,128.58
0.93,121.9,143.01,116.88,128.58
1.13,121.92,143.02,116.84,128.57
1.33,115.45,143.08,116.84,128.58
1.53,103.65,137.46,112.2,116.75
1.73,93.76,124.16,102.21,104.48
1.94,82.8,111.93,92.95,93.41
2.14,73.8,98.64,83.65,83.35
2.34,72.34,85.83,74.33,73.61
2.55,72.22,80.11,69.56,73.4
2.75,72.16,79.84,69.44,73.33
2.96,72.13,79.67,69.4,73.31
3.16,72.12,79.48,69.37,73.27
3.37,72.09,79.33,69.34,73.28
3.57,72.08,79.21,69.37,73.19
3.78,72.07,79.1,69.38,73.24
3.98,72.07,79.04,69.38,73.22
4.19,72.04,78.97,69.37,73.18
4.42,72.03,78.62,69.36,73.18
5.13,72.03,78.56,69.36,73.15
5.53,72.04,78.27,71.29,73.08
6.67,72.03,78.13,72.81,73.03
7.46,72.0,78.08,72.82,73.04
7.67,72.0,78.0,72.81,73.07
7.87,71.98,77.92,72.24,72.98
8.07,71.98,77.91,71.45,73.0
8.28,72.02,77.92,70.52,72.94
8.55,72.01,77.83,69.3,72.97
8.93,82.25,77.74,69.27,72.97
9.18,92.71,77.71,69.27,72.98
9.38,100.74,77.67,69.27,72.91
9.58,109.62,77.66,69.31,72.96
9.78,118.98,77.62,69.33,72.98
9.98,117.35,77.56,69.29,72.95
10.50,117.41,77.59,69.29,72.86
10.71,117.47,77.58,69.27,72.87
10.92,117.5,77.52,69.29,72.86
11.26,117.52,77.51,69.28,72.89
11.46,117.53,77.49,69.3,72.89
11.66,117.6,77.4,69.29,72.84
12.42,117.64,77.36,69.29,72.85
12.62,117.65,77.33,69.29,72.77
12.82,117.64,77.36,69.26,72.83
13.02,117.65,77.31,69.27,72.84
13.22,117.67,77.28,69.26,72.83
13.42,117.66,77.26,69.24,72.85
13.62,117.84,77.25,69.2,72.78
13.82,117.89,77.27,69.22,72.8
14.02,118.04,77.25,69.24,72.81
14.22,118.19,77.21,69.24,72.73
14.42,118.32,77.17,69.22,72.76
14.62,118.25,77.15,69.24,72.76
14.82,118.32,77.15,69.24,72.75
15.02,118.34,77.17,69.22,72.75
15.22,118.33,77.12,69.22,72.7
15.42,118.35,77.08,69.21,72.71
15.62,118.33,77.04,69.23,72.75
15.82,118.44,77.04,69.25,72.68
16.02,118.43,77.08,69.25,72.74
16.22,118.32,77.06,69.19,72.73
16.42,118.41,77.02,69.24,72.74
16.62,118.39,76.98,69.24,72.77
16.82,118.43,76.95,69.24,72.68
17.02,118.49,76.96,69.21,72.74
17.22,118.51,76.97,69.24,72.76
17.42,118.44,76.93,69.24,72.73
17.62,118.39,76.91,69.24,72.76
17.82,118.41,76.92,69.21,72.74
18.02,118.42,76.92,69.21,72.74
18.22,118.5,76.94,69.24,72.77
18.42,118.48,76.92,69.25,72.65
18.62,118.47,76.9,69.24,72.73
18.82,118.36,76.85,69.22,72.75
19.02,118.37,76.86,69.26,72.7
19.22,118.31,76.89,69.26,72.72
19.42,118.31,76.89,69.23,72.7
19.62,118.28,76.84,69.19,72.69
19.82,118.39,76.79,69.23,72.69
20.02,118.5,76.76,69.23,72.6
20.22,118.51,76.76,69.23,72.68
20.42,118.49,76.81,69.21,72.68
20.62,118.59,76.77,69.25,72.67
20.82,118.54,76.76,69.24,72.69
21.02,118.45,76.73,69.21,72.64
21.22,118.46,76.71,69.21,72.65
21.42,118.49,76.73,69.2,72.65
21.62,118.47,76.71,69.21,72.59
21.82,118.45,76.68,69.21,72.64
22.02,118.43,76.67,69.23,72.64
22.22,118.49,76.68,69.22,72.64
22.42,118.42,76.68,69.23,72.68
22.62,118.44,76.73,69.24,72.62
22.82,118.38,76.66,69.24,72.64
23.02,118.4,76.63,69.2,72.66
23.22,118.34,76.59,69.24,72.63
23.42,118.37,76.6,69.25,72.67
23.62,118.47,76.64,69.25,72.64
23.82,118.47,76.63,69.21,72.65
24.02,118.48,76.59,69.23,72.66
24.22,118.47,76.57,69.24,72.55
24.42,118.49,76.53,69.24,72.61
24.62,118.44,76.53,69.24,72.63
24.82,118.39,76.58,69.25,72.59
25.02,118.38,76.55,69.28,72.61
25.22,118.46,76.53,69.28,72.58
25.42,118.47,76.52,69.25,72.59
25.62,118.49,76.51,69.21,72.61
25.82,118.49,76.54,69.25,72.54
26.02,118.53,76.5,69.25,72.57
26.22,118.46,76.49,69.24,72.59
26.42,118.48,76.5,69.23,72.56
26.62,118.37,76.48,69.24,72.59
26.82,118.45,76.51,69.23,72.57
27.02,118.46,76.53,69.23,72.59
27.22,118.55,76.48,69.19,72.61
27.42,118.53,76.43,69.21,72.51
27.62,118.61,76.43,69.22,72.56
27.82,118.56,76.43,69.24,72.54
28.02,118.55,76.5,69.21,72.54
28.22,118.47,76.46,69.2,72.56
28.42,118.55,76.43,69.23,72.51
28.62,118.56,76.39,69.24,72.55
28.82,118.51,76.39,69.21,72.57
29.02,118.49,76.4,69.2,72.47
29.22,118.51,76.41,69.23,72.53
29.42,118.48,76.36,69.24,72.51
29.62,118.43,76.34,69.23,72.53
29.82,118.49,76.33,69.18,72.54
30.02,118.55,76.34,69.24,72.5
30.22,118.56,76.39,69.22,72.5
30.42,118.56,76.36,69.24,72.51
30.62,118.58,76.34,69.2,72.47
30.82,118.47,76.32,69.25,72.51
31.02,118.45,76.34,69.25,72.48
31.22,118.42,76.37,69.25,72.54
31.42,118.43,76.4,69.24,72.56
31.62,118.39,76.34,69.21,72.48
31.82,118.53,76.32,69.22,72.53
32.02,118.58,76.28,69.22,72.52
32.22,118.57,76.25,69.22,72.5
32.42,118.57,76.3,69.22,72.52
32.62,118.64,76.28,69.24,72.48
32.82,118.56,76.25,69.24,72.52
33.02,118.5,76.24,69.23,72.55
33.22,118.5,76.24,69.17,72.44
33.42,118.53,76.25,69.2,72.51
33.63,118.49,76.28,69.21,72.52
33.83,118.6,76.22,69.22,72.52
34.03,118.65,76.2,69.21,72.56
34.23,118.69,76.19,69.24,72.52
34.43,118.71,76.2,69.25,72.55
34.63,118.67,76.25,69.25,72.56
34.83,118.62,76.21,69.22,72.47
35.03,118.58,76.17,69.23,72.49
35.23,118.52,76.16,69.23,72.45
35.43,118.55,76.17,69.24,72.48
35.63,118.62,76.21,69.24,72.5
35.83,118.67,76.23,69.22,72.43
36.03,118.64,76.16,69.24,72.46
36.23,118.7,76.13,69.24,72.47
36.43,118.66,76.09,69.24,72.4
36.63,118.61,76.09,69.19,72.42
36.83,118.56,76.15,69.23,72.38
37.03,118.58,76.11,69.23,72.41
37.23,118.65,76.08,69.24,72.43
37.43,118.61,76.09,69.19,72.4
37.63,118.6,76.07,69.21,72.41
37.83,118.62,76.1,69.21,72.41
38.03,118.66,76.14,69.21,72.39
38.23,118.61,76.08,69.2,72.43
38.43,118.6,76.06,69.22,72.37
38.63,118.59,76.08,69.24,72.43
38.83,118.59,76.07,69.24,72.46
39.03,118.54,76.14,69.22,72.4
39.23,118.51,76.12,69.19,72.42
39.43,118.54,76.06,69.21,72.41
39.63,118.53,76.02,69.19,72.4
39.83,118.62,76.03,69.19,72.43
40.03,118.6,76.07,69.17,72.38
40.23,118.69,76.08,69.22,72.42
40.43,118.7,76.04,69.22,72.42
40.63,118.69,76.04,69.22,72.4
40.83,118.68,76.01,69.22,72.41
41.03,118.74,75.98,69.2,72.37
41.23,118.69,76.04,69.19,72.41
41.43,118.65,76.02,69.2,72.41
41.63,118.71,76.0,69.2,72.35
41.83,118.64,75.96,69.16,72.38
42.03,118.63,75.97,69.2,72.35
42.23,118.64,76.0,69.21,72.34
42.43,118.57,76.02,69.22,72.39
42.63,118.61,75.97,69.18,72.31
42.83,118.6,75.96,69.21,72.37
43.03,118.6,75.97,69.22,72.42
43.23,118.55,75.95,69.22,72.36
43.43,118.66,76.04,69.2,72.41
43.63,118.62,75.99,69.2,72.39
43.83,118.61,75.95,69.21,72.39
44.03,118.56,75.91,69.21,72.41
44.23,118.54,75.91,69.2,72.35
44.43,118.48,75.93,69.16,72.37
