Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.19,121.95,74.63,69.19,71.6
0.19,122.17,74.58,69.17,71.6
0.39,122.23,74.55,69.15,71.59
0.59,122.17,74.58,69.18,71.57
0.79,122.12,74.69,69.16,71.56
0.99,122.12,74.76,69.14,71.58
1.19,122.11,74.67,69.12,71.59
1.39,122.03,74.61,69.14,71.61
1.59,113.98,74.55,69.17,71.63
1.79,104.46,74.57,69.14,71.66
2.00,93.29,74.59,69.15,71.64
2.21,83.39,74.74,69.13,71.65
2.41,73.51,74.71,69.17,71.62
2.62,72.61,74.63,69.18,71.63
2.82,72.5,74.57,69.18,71.62
3.03,72.44,74.57,69.14,71.63
3.24,72.43,74.58,69.14,71.65
3.44,72.4,74.69,69.17,71.65
3.65,72.38,74.74,69.19,71.65
3.86,72.37,74.64,69.2,71.62
4.06,72.4,74.59,69.18,71.6
4.27,72.39,74.57,69.17,71.58
4.47,72.38,74.59,69.19,71.61
4.68,72.35,74.68,69.17,71.6
4.89,72.33,74.78,69.15,71.6
5.10,72.3,74.71,69.15,71.62
5.30,72.29,74.58,69.13,71.58
5.54,72.29,74.66,69.15,71.58
6.25,72.27,74.75,69.12,71.57
6.65,72.26,74.75,69.17,71.56
7.80,72.22,74.51,69.12,71.63
8.61,72.21,74.53,69.16,71.6
8.81,72.19,74.67,69.14,71.61
9.02,72.2,74.69,69.14,71.63
9.22,72.23,74.6,69.13,71.61
9.43,72.22,74.56,69.16,71.59
9.64,72.23,74.53,69.13,71.58
10.02,82.74,74.59,69.14,71.56
10.28,93.57,74.7,69.12,71.56
10.48,102.65,74.64,69.15,71.57
10.68,110.88,74.57,69.15,71.59
10.88,119.15,74.54,69.15,71.59
11.08,117.5,74.59,69.11,71.57
11.52,117.47,74.61,69.12,71.52
12.92,117.42,74.51,69.09,71.55
13.97,117.52,74.51,69.11,71.54
15.10,117.52,74.52,69.12,71.54
15.31,117.57,74.57,69.12,71.58
15.52,117.58,74.7,69.12,71.57
15.74,117.61,74.64,69.11,71.6
15.95,117.61,74.54,69.1,71.58
16.16,117.55,74.5,69.15,71.6
16.37,117.56,74.48,69.14,71.6
16.58,117.56,74.54,69.12,71.61
16.79,117.57,74.65,69.09,71.62
17.00,117.61,74.67,69.1,71.6
17.22,117.68,74.57,69.12,71.58
17.43,117.64,74.5,69.15,71.55
17.67,117.64,74.47,69.18,71.55
17.87,117.82,74.51,69.15,71.58
18.07,117.95,74.62,69.13,71.59
18.27,118.68,74.72,69.15,71.59
18.47,118.76,74.62,69.13,71.58
18.74,118.8,74.55,69.14,71.58
18.94,118.14,74.46,69.1,71.53
19.32,119.7,74.65,69.13,71.55
19.72,120.95,74.61,69.13,71.57
19.95,122.64,74.56,69.16,71.61
20.18,123.89,74.52,69.14,71.61
20.38,124.66,74.52,69.16,71.62
20.59,125.08,74.56,69.18,71.63
20.81,124.17,74.69,69.19,71.64
21.01,123.07,74.68,69.2,71.65
21.32,122.44,74.6,69.21,71.68
21.79,122.4,74.6,69.21,71.68
21.99,120.65,74.74,69.2,71.64
22.36,122.51,74.75,69.2,71.63
22.58,122.93,74.65,69.21,71.6
22.82,126.55,74.61,69.18,71.62
23.06,126.35,74.6,69.19,71.62
23.26,126.03,74.61,69.21,71.63
23.46,125.98,74.77,69.2,71.65
23.71,123.94,74.76,69.24,71.65
23.92,125.72,74.64,69.22,71.67
24.24,124.58,74.58,69.24,71.67
24.44,123.96,74.61,69.25,71.69
24.64,123.96,74.66,69.25,71.68
24.89,123.28,74.78,69.26,71.64
25.20,125.36,74.67,69.26,71.64
25.43,123.23,74.63,69.23,71.65
25.63,124.47,74.6,69.2,71.65
25.85,125.97,74.63,69.17,71.69
26.08,126.42,74.76,69.18,71.71
26.32,125.51,74.79,69.21,71.71
26.52,126.51,74.66,69.22,71.7
26.79,125.79,74.6,69.22,71.68
27.01,123.72,74.57,69.18,71.68
27.24,123.06,74.61,69.21,71.66
27.44,122.98,74.73,69.19,71.66
27.64,120.64,74.81,69.19,71.66
27.84,119.75,74.73,69.22,71.67
28.04,118.34,74.67,69.23,71.65
28.24,118.22,74.61,69.19,71.65
28.44,118.07,74.6,69.21,71.64
28.64,118.04,74.62,69.21,71.62
28.84,117.96,74.75,69.18,71.63
29.04,118.0,74.76,69.16,71.64
29.25,119.04,74.62,69.17,71.65
