Time(S),GPU0_Power(W)
0.02,136.88
0.02,136.88
0.22,137.43
0.42,138.01
0.62,138.63
0.82,139.49
1.02,139.61
1.22,139.64
1.42,131.85
1.62,121.09
1.82,109.97
2.02,98.16
2.22,86.96
2.42,83.62
2.62,83.54
2.82,83.54
3.02,83.54
3.22,83.61
3.42,83.64
3.62,83.75
3.82,83.71
4.02,83.75
4.22,83.62
4.42,83.66
4.62,83.51
4.82,85.75
5.02,96.31
5.22,106.66
5.42,116.82
5.62,127.03
5.82,136.06
6.02,135.76
6.22,135.7
6.42,135.72
6.62,135.94
6.82,136.12
7.02,136.42
7.22,138.02
7.42,139.72
7.62,141.24
7.82,142.53
8.02,143.8
8.22,143.97
8.42,144.02
8.62,144.3
8.82,145.14
9.02,145.42
9.22,145.42
9.42,145.45
9.62,145.45
9.82,144.46
10.02,144.52
10.22,144.43
10.42,144.45
10.63,144.31
10.83,144.33
11.03,144.42
11.23,144.63
11.43,145.22
11.63,145.02
11.83,145.03
12.03,145.04
12.23,144.78
12.43,144.23
12.63,144.06
12.83,144.15
13.03,143.83
13.23,144.11
13.43,144.42
13.63,145.06
13.83,145.07
14.03,143.88
14.23,142.0
14.43,139.99
14.63,138.01
14.83,136.23
15.03,136.04
15.23,136.02
15.43,135.91
15.63,135.78
15.83,135.74
16.03,135.73
16.23,135.8
16.43,136.04
16.63,136.22
16.83,136.34
