Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W),GPU4_Power(W),GPU5_Power(W),GPU6_Power(W),GPU7_Power(W)
0.00,156.0,158.0,152.0,156.0,150.0,158.0,156.0,147.0
0.00,156.0,158.0,152.0,156.0,150.0,158.0,156.0,147.0
0.20,162.0,166.0,161.0,162.0,156.0,163.0,161.0,156.0
0.40,133.0,137.0,130.0,134.0,127.0,133.0,131.0,127.0
0.60,128.0,132.0,125.0,130.0,123.0,127.0,125.0,123.0
0.80,128.0,131.0,124.0,129.0,123.0,127.0,124.0,122.0
1.00,127.0,131.0,124.0,129.0,123.0,127.0,124.0,122.0
1.20,127.0,131.0,125.0,129.0,123.0,127.0,124.0,122.0
1.40,127.0,131.0,124.0,129.0,123.0,127.0,124.0,122.0
1.60,127.0,131.0,124.0,129.0,122.0,127.0,124.0,122.0
1.80,127.0,131.0,124.0,129.0,122.0,127.0,124.0,122.0
2.00,126.0,131.0,124.0,128.0,121.0,127.0,124.0,121.0
2.20,126.0,131.0,124.0,128.0,122.0,127.0,124.0,121.0
2.40,127.0,131.0,124.0,128.0,122.0,127.0,124.0,122.0
2.60,126.0,131.0,124.0,129.0,122.0,127.0,124.0,121.0
2.80,127.0,130.0,124.0,128.0,122.0,127.0,124.0,122.0
3.00,126.0,131.0,125.0,128.0,122.0,126.0,124.0,121.0
3.20,127.0,131.0,125.0,129.0,122.0,126.0,124.0,121.0
3.40,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
3.60,127.0,131.0,124.0,128.0,121.0,126.0,124.0,121.0
3.80,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
4.00,127.0,131.0,125.0,129.0,122.0,126.0,124.0,121.0
4.20,127.0,131.0,124.0,129.0,122.0,126.0,123.0,121.0
4.40,127.0,130.0,124.0,129.0,122.0,126.0,124.0,122.0
4.60,127.0,130.0,124.0,128.0,122.0,126.0,123.0,121.0
4.80,127.0,130.0,124.0,129.0,122.0,126.0,123.0,121.0
5.00,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
5.20,127.0,131.0,124.0,128.0,122.0,126.0,124.0,122.0
5.41,127.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
5.61,127.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
5.81,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
6.01,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
6.21,127.0,131.0,125.0,128.0,122.0,126.0,124.0,121.0
6.41,126.0,130.0,125.0,128.0,122.0,126.0,124.0,121.0
6.61,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
6.81,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
7.01,127.0,131.0,124.0,128.0,121.0,126.0,124.0,121.0
7.21,126.0,130.0,124.0,128.0,122.0,126.0,123.0,121.0
7.41,127.0,130.0,123.0,128.0,122.0,126.0,123.0,121.0
7.61,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
7.81,126.0,131.0,124.0,129.0,122.0,126.0,124.0,121.0
8.01,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
8.21,126.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
8.41,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
8.61,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
8.81,126.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
9.01,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
9.21,126.0,130.0,124.0,128.0,122.0,126.0,124.0,122.0
9.41,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
9.61,126.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
9.81,126.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
10.01,127.0,130.0,124.0,128.0,122.0,126.0,123.0,121.0
10.21,152.0,130.0,124.0,128.0,122.0,126.0,123.0,121.0
10.41,169.0,130.0,124.0,128.0,121.0,126.0,123.0,122.0
10.61,161.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
10.81,160.0,130.0,124.0,128.0,122.0,125.0,124.0,121.0
11.01,160.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
11.21,160.0,130.0,124.0,128.0,122.0,125.0,124.0,121.0
11.41,159.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
11.61,161.0,131.0,124.0,129.0,122.0,125.0,124.0,121.0
11.81,162.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
12.01,162.0,130.0,124.0,128.0,121.0,126.0,123.0,121.0
12.21,176.0,130.0,124.0,128.0,122.0,126.0,124.0,132.0
