Time(S),GPU0_Power(W)
0.21,153.05
0.21,153.93
0.41,154.58
0.61,155.28
0.81,155.4
1.01,155.31
1.21,155.29
1.41,155.47
1.61,155.2
1.81,141.62
2.01,127.75
2.21,113.62
2.41,100.4
2.61,86.52
2.82,84.6
3.02,84.12
3.22,83.94
3.42,83.76
3.62,83.43
3.82,83.3
4.02,83.21
4.22,82.93
4.42,82.77
4.62,82.77
4.82,82.53
5.02,82.34
5.22,82.13
5.71,81.93
6.21,82.81
6.41,93.91
6.61,107.46
6.81,117.9
7.01,132.21
7.21,143.07
7.41,145.61
7.61,145.09
7.81,145.28
8.01,145.36
8.21,145.6
8.41,145.9
8.61,145.95
8.81,146.1
9.01,146.38
9.22,146.52
9.62,146.9
10.45,147.35
11.20,147.65
12.07,147.88
13.02,148.13
14.20,148.2
14.51,148.24
14.71,148.18
14.91,148.34
15.11,148.34
15.31,148.26
15.51,148.4
15.71,148.47
15.91,148.38
16.11,148.49
16.31,148.55
16.51,148.46
16.71,148.57
16.91,148.67
17.11,148.6
17.31,148.6
17.51,148.76
17.71,148.65
17.91,148.65
18.11,148.79
18.31,148.82
18.51,148.75
18.71,148.91
18.91,148.96
19.11,148.99
19.31,149.48
19.51,149.57
19.71,149.67
20.05,149.62
20.25,149.86
20.49,150.81
20.69,152.15
20.89,152.71
21.09,154.05
21.29,155.86
21.49,155.89
21.69,156.52
21.89,157.61
22.09,156.01
22.29,154.48
22.49,152.25
22.81,151.17
23.01,152.45
23.21,153.21
23.41,153.29
23.63,154.74
23.83,155.34
24.03,153.82
24.33,154.58
24.53,154.35
24.73,153.11
24.93,152.01
25.13,153.36
25.33,154.62
25.53,154.7
25.73,156.02
25.93,156.79
26.13,155.67
26.43,154.23
26.63,153.4
26.83,152.77
27.18,153.29
27.38,153.18
27.58,152.52
27.92,153.13
28.12,152.21
28.34,152.74
28.54,153.07
28.74,153.09
28.94,154.14
29.14,155.38
29.34,155.32
29.54,154.74
29.74,155.89
29.94,155.39
30.14,154.83
30.34,154.0
30.54,153.78
30.77,153.82
30.97,153.26
31.17,152.66
31.59,153.12
31.79,153.17
31.99,153.4
32.19,153.65
32.39,156.05
32.59,155.83
32.79,155.92
32.99,154.95
33.19,157.17
33.39,156.41
33.59,156.7
33.79,156.36
33.99,156.64
34.19,154.78
34.39,155.31
34.59,154.56
34.79,155.5
34.99,156.45
35.19,157.51
35.39,158.48
35.59,158.27
35.79,157.98
35.99,154.77
36.33,154.69
36.53,154.25
36.73,153.82
36.93,155.47
37.13,157.78
37.33,158.34
37.53,158.53
37.73,158.74
37.93,157.45
38.13,154.55
38.51,153.14
38.71,152.3
38.92,153.92
39.12,154.47
39.50,154.2
39.78,152.8
40.18,154.02
40.38,154.71
40.71,154.83
40.91,154.93
41.11,153.74
41.31,152.17
41.51,152.09
41.71,151.46
41.91,151.38
42.11,151.38
42.31,151.25
42.51,151.32
42.71,151.36
42.91,152.01
