Time(S),GPU0_Power(W)
0.06,198.43
0.06,198.43
0.26,198.46
0.46,198.46
0.66,198.34
0.86,198.07
1.06,198.01
1.26,197.99
1.46,193.55
1.66,183.89
1.86,173.93
2.06,163.92
2.26,153.72
2.46,147.66
2.66,146.7
2.86,145.93
3.06,145.29
3.26,144.79
3.46,144.57
3.66,144.46
3.86,144.35
4.06,144.25
4.26,144.15
4.46,144.07
4.66,143.98
4.86,143.93
5.06,143.91
5.27,143.91
5.47,143.87
5.67,143.88
5.87,143.89
6.07,143.89
6.27,143.87
6.47,143.85
6.67,143.84
6.92,143.96
7.19,144.76
7.39,150.98
7.59,161.1
7.79,171.33
7.99,181.93
8.19,192.12
8.39,198.18
8.59,197.9
8.79,197.95
8.99,197.97
9.19,197.93
9.40,197.91
9.60,197.89
9.80,197.86
10.00,197.78
10.20,197.79
10.40,197.84
10.60,198.32
10.80,199.68
11.00,201.02
11.20,201.06
11.40,203.9
11.60,205.78
11.80,206.31
12.00,205.46
12.20,206.8
12.40,207.17
12.60,204.86
12.80,207.05
13.00,208.78
13.20,209.32
13.40,209.34
13.60,211.29
13.80,207.72
14.00,207.57
14.20,205.85
14.40,206.31
14.60,206.82
14.80,208.0
15.00,208.25
15.20,207.25
15.40,206.4
15.60,206.21
15.80,203.71
16.00,202.3
16.20,202.0
16.40,199.13
16.60,197.85
16.80,197.87
17.00,197.86
17.20,197.86
17.40,197.84
17.60,198.01
