Time(S),GPU0_Power(W)
0.00,127.0
0.00,127.0
0.20,99.0
0.40,83.0
0.60,131.0
0.80,134.0
1.00,134.0
1.20,132.0
1.40,131.0
1.60,131.0
1.80,100.0
2.00,83.0
2.20,81.0
2.40,81.0
2.60,81.0
2.80,81.0
3.00,81.0
3.20,127.0
3.40,103.0
3.60,84.0
3.80,81.0
4.00,81.0
4.20,81.0
4.40,81.0
4.60,81.0
4.80,107.0
5.00,84.0
5.20,81.0
5.40,81.0
5.60,81.0
5.80,81.0
6.00,102.0
6.20,96.0
6.40,83.0
6.60,81.0
6.80,81.0
7.00,81.0
7.20,81.0
7.40,81.0
7.60,81.0
7.80,81.0
8.00,81.0
8.20,81.0
8.40,81.0
8.60,81.0
8.80,81.0
9.00,81.0
9.20,81.0
9.40,100.0
9.60,83.0
9.80,81.0
10.00,81.0
10.20,81.0
10.40,81.0
10.60,82.0
10.80,126.0
11.00,101.0
11.20,130.0
11.40,132.0
11.60,133.0
11.97,132.0
12.17,132.0
12.37,132.0
12.57,131.0
12.77,101.0
12.97,143.0
13.17,154.0
13.37,134.0
13.57,88.0
13.77,154.0
13.97,126.0
14.17,92.0
14.37,130.0
14.57,173.0
14.77,143.0
14.97,131.0
15.17,173.0
15.37,170.0
15.57,125.0
15.77,119.0
15.97,154.0
16.17,151.0
16.37,176.0
16.57,333.0
16.77,330.0
16.97,426.0
17.17,373.0
17.37,378.0
17.57,266.0
17.77,249.0
17.97,281.0
18.17,134.0
18.37,94.0
18.57,89.0
18.77,82.0
18.97,81.0
19.17,81.0
19.37,81.0
19.57,81.0
19.77,81.0
19.97,81.0
20.17,81.0
20.37,81.0
20.57,81.0
20.77,81.0
20.97,81.0
21.17,82.0
21.37,84.0
21.57,82.0
21.77,81.0
21.97,82.0
22.17,128.0
