Time(S),GPU0_Power(W)
0.01,128.55
0.01,128.55
0.21,129.27
0.41,129.88
0.62,130.53
0.82,131.33
1.02,131.86
1.22,131.89
1.42,131.97
1.62,132.08
1.82,124.03
2.02,114.14
2.22,104.47
2.42,94.75
2.62,85.86
2.82,83.4
3.02,83.32
3.22,83.22
3.42,83.21
3.62,83.17
3.82,83.18
4.02,83.15
4.22,83.24
4.42,83.19
4.62,83.22
4.82,83.16
5.02,83.09
5.22,83.11
5.42,83.03
5.62,83.03
5.82,83.13
6.02,88.49
6.22,97.39
6.42,106.23
6.62,115.13
6.82,124.01
7.02,129.14
7.22,129.65
7.42,130.63
7.62,131.47
7.82,132.52
8.02,132.47
8.22,132.58
8.42,132.41
8.62,132.38
8.82,131.95
9.02,132.41
9.22,132.83
9.42,133.14
9.62,133.12
9.82,133.0
10.02,132.66
10.22,132.36
10.42,132.26
10.62,132.1
10.82,132.18
11.03,132.64
11.23,132.04
11.43,131.15
11.63,130.32
11.83,129.62
12.03,128.35
12.23,128.13
12.43,128.23
12.63,128.2
12.83,128.24
