Time(S),GPU0_Power(W)
0.23,150.09
0.23,150.52
0.43,151.59
0.63,152.25
0.83,152.14
1.03,152.05
1.23,138.05
1.43,124.63
1.63,111.22
1.83,97.84
2.03,84.29
2.23,83.52
2.43,83.34
2.63,83.02
2.83,82.79
3.03,82.72
3.23,82.51
3.43,82.26
3.63,82.22
3.83,82.07
4.03,81.85
4.23,81.79
4.70,81.69
5.15,81.58
5.36,81.7
5.56,91.32
5.76,103.96
5.96,115.54
6.16,127.95
6.36,139.92
6.56,143.55
6.76,143.01
6.96,142.94
7.16,143.37
7.48,143.93
8.21,144.07
8.41,144.11
8.61,144.27
8.87,144.59
9.09,144.65
9.29,144.77
9.49,145.24
9.69,146.34
9.89,146.49
10.09,147.9
10.31,149.36
10.51,151.08
10.71,150.52
10.91,152.84
11.11,152.34
11.39,152.2
11.59,151.87
11.79,152.15
11.99,150.24
12.19,150.29
12.39,149.11
12.59,147.96
12.79,146.57
12.99,146.6
13.19,146.47
13.39,146.54
13.59,147.26
