Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.13,122.35,145.77,117.24,128.69
0.13,122.32,145.88,117.22,129.02
0.33,122.31,145.86,117.22,129.08
0.53,122.31,145.88,117.27,129.07
0.73,122.32,145.95,117.28,128.97
0.93,122.22,145.9,117.13,129.02
1.13,122.22,145.96,117.11,128.98
1.33,121.95,146.0,117.12,129.04
1.53,110.63,146.11,117.13,120.97
1.73,99.58,131.42,107.57,108.18
1.93,89.31,118.56,98.27,96.73
2.14,78.74,105.62,88.92,86.42
2.35,72.78,92.38,77.83,73.95
2.55,72.61,81.58,69.71,73.62
2.76,72.53,81.24,69.44,73.49
2.97,72.49,80.96,69.33,73.51
3.18,72.49,80.74,69.3,73.46
3.39,72.48,80.54,69.32,73.46
3.59,72.44,80.38,69.35,73.47
3.80,72.45,80.23,69.35,73.41
4.00,72.45,80.17,69.32,73.45
4.23,72.46,79.81,69.32,73.37
4.94,72.42,79.64,69.34,73.37
5.35,72.4,79.3,69.32,73.32
6.50,72.37,78.99,69.26,73.31
7.30,72.39,78.95,69.25,73.3
7.51,72.38,78.88,69.26,73.22
7.71,72.38,78.85,69.26,73.29
7.92,72.35,78.76,69.27,73.16
8.29,82.5,78.73,69.26,73.21
8.53,92.61,78.66,69.28,73.18
8.74,101.18,78.61,69.23,73.21
8.94,110.08,78.58,69.23,73.22
9.14,117.72,78.59,69.23,73.16
10.13,117.76,78.72,69.24,73.15
10.56,117.72,78.69,69.21,73.12
10.78,117.69,78.66,69.22,73.1
10.99,117.73,78.59,69.25,73.15
11.19,117.7,78.54,69.29,73.09
11.40,117.73,78.53,69.28,73.13
11.60,117.85,78.5,69.26,73.09
11.83,117.88,79.65,69.23,73.09
12.08,117.87,92.61,69.21,73.11
12.30,117.83,107.22,70.85,73.06
12.54,117.83,118.06,79.42,73.12
12.74,117.78,129.47,87.9,75.07
12.94,117.74,136.32,95.17,83.8
13.14,118.53,136.35,106.09,96.49
13.34,119.91,136.74,111.61,103.23
13.54,119.92,136.99,113.93,113.21
13.74,120.0,137.39,113.53,124.26
13.94,120.03,137.52,113.58,124.87
14.14,117.95,137.04,112.85,124.25
14.57,117.92,137.16,112.81,124.26
14.77,117.92,137.37,112.86,124.34
15.01,118.21,137.95,113.42,125.22
15.21,119.4,139.43,114.77,126.41
15.41,119.44,139.61,114.81,126.45
15.61,119.57,139.79,114.84,126.6
15.81,121.07,140.52,115.39,127.17
16.01,120.84,140.64,114.88,126.24
16.21,120.12,139.63,113.92,126.02
16.46,122.66,141.43,115.46,127.61
16.66,124.03,143.15,116.88,128.78
16.97,125.26,144.21,118.01,130.09
17.17,128.64,146.75,120.46,132.32
17.37,129.52,146.77,120.88,131.93
17.57,130.08,147.36,121.44,132.46
17.77,127.63,146.1,120.13,131.37
18.08,128.23,145.95,119.64,130.8
18.28,127.22,146.58,120.66,132.31
18.48,127.68,147.34,119.96,132.21
18.88,130.6,149.2,122.24,134.11
19.08,129.32,148.57,121.42,133.12
19.28,127.78,148.08,120.79,132.18
19.48,126.93,146.76,119.97,131.46
19.89,126.81,146.61,119.18,131.22
20.09,128.53,148.25,121.11,132.38
20.29,128.57,148.1,120.6,131.93
20.49,126.64,146.82,119.22,130.99
20.69,126.64,146.75,119.38,130.91
20.89,123.77,144.66,117.33,128.79
21.09,120.22,141.99,114.2,126.41
21.29,118.0,140.56,112.93,124.55
21.49,117.95,140.52,112.95,124.5
21.69,117.94,140.52,112.92,124.53
21.89,118.2,140.72,112.98,124.54
22.11,119.0,141.52,113.78,125.28
22.31,119.74,142.37,114.49,126.02
