Time(S),GPU0_Power(W)
0.00,34.61
0.20,34.52
0.40,34.63
0.60,34.7
0.80,34.6
1.00,34.59
1.20,34.69
1.40,34.7
1.60,32.67
1.80,32.67
2.00,32.57
2.20,32.57
2.40,32.57
2.60,32.66
2.80,32.62
3.00,32.6
3.20,32.59
3.40,32.67
3.60,32.58
3.80,32.68
4.00,32.68
4.20,32.58
4.40,32.67
4.60,32.58
4.80,32.58
5.00,32.58
5.20,32.77
5.40,32.68
5.60,32.58
5.80,32.58
6.00,32.58
6.20,32.49
6.40,32.58
6.60,32.49
6.80,32.49
7.00,32.58
7.20,32.58
7.40,33.26
7.60,32.59
7.80,32.59
8.00,32.58
8.20,32.59
8.40,32.58
8.60,36.73
8.80,35.0
9.00,34.92
9.20,34.72
9.40,34.82
9.65,34.82
9.86,35.11
10.06,44.41
10.26,34.65
10.46,42.25
10.66,39.72
10.86,37.24
11.06,37.08
11.26,37.23
11.46,37.24
11.66,37.23
11.86,37.14
12.06,37.14
12.26,37.14
12.46,34.42
12.66,34.81
12.86,34.62
13.06,34.61
13.26,36.16
