Time(S),GPU0_Power(W)
0.26,266.90
0.26,265.34
0.51,272.21
0.76,265.77
1.01,270.66
1.27,263.91
1.53,262.70
1.79,269.39
2.04,266.93
2.29,272.79
2.54,263.53
2.79,264.34
3.05,268.47
3.30,263.53
3.55,262.65
3.81,264.32
4.06,264.78
4.32,271.72
4.58,267.09
4.83,266.91
5.08,265.83
5.34,264.33
5.60,267.04
5.85,266.00
6.12,270.95
6.37,264.81
6.62,273.00
6.86,273.35
7.11,264.79
7.35,264.50
7.60,270.80
7.85,265.48
8.10,266.63
8.47,266.88
8.81,282.24
9.06,273.08
9.32,270.70
9.58,442.90
9.85,266.75
10.11,435.21
10.39,265.32
10.65,436.82
10.93,424.32
11.20,265.41
11.47,365.36
11.76,277.64
12.03,264.86
12.30,333.95
12.58,440.05
12.86,441.19
13.13,430.08
13.41,418.82
13.70,414.32
13.97,313.56
14.25,265.36
14.52,300.18
14.79,390.06
15.07,268.99
15.34,427.83
15.62,293.90
15.89,277.48
16.16,266.86
16.41,273.55
16.66,272.53
16.92,271.40
17.17,266.59
17.43,271.52
17.68,267.59
17.94,265.12
18.20,269.03
18.48,263.66
