Time(S),GPU0_Power(W)
0.25,269.61
0.26,265.19
0.50,265.07
0.76,263.05
1.01,269.41
1.27,267.58
1.53,264.50
1.79,261.81
2.04,267.56
2.29,270.58
2.54,267.17
2.79,270.95
3.05,263.28
3.30,265.21
3.56,263.68
3.81,264.48
4.06,262.50
4.32,267.45
4.57,263.97
4.83,268.77
5.07,263.84
5.33,273.98
5.58,265.43
5.83,271.74
6.08,273.64
6.33,273.49
6.57,271.66
6.82,265.99
7.07,265.41
7.31,273.70
7.56,264.55
7.82,266.08
8.07,270.90
8.43,263.55
8.77,279.15
9.02,274.53
9.28,273.05
9.54,433.90
9.81,271.11
10.09,312.51
10.37,267.91
10.64,372.32
10.91,266.98
11.19,333.11
11.48,316.06
11.75,267.97
12.03,393.88
12.32,274.45
12.59,429.36
12.89,410.77
13.18,271.39
13.45,429.43
13.75,432.28
14.03,288.86
14.31,359.86
14.59,269.72
14.86,406.23
15.15,363.49
15.42,265.79
15.70,417.65
15.98,266.96
16.26,329.13
16.54,314.15
16.80,286.13
17.08,267.72
17.33,273.23
17.57,295.60
17.83,267.05
18.08,264.42
18.34,266.90
18.59,273.82
18.85,265.01
19.11,266.21
19.37,263.41
19.64,265.09
