Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W),GPU4_Power(W),GPU5_Power(W),GPU6_Power(W),GPU7_Power(W)
0.00,157.0,161.0,155.0,160.0,153.0,161.0,160.0,150.0
0.00,157.0,161.0,155.0,160.0,153.0,161.0,160.0,150.0
0.20,163.0,167.0,161.0,164.0,157.0,163.0,161.0,156.0
0.40,134.0,138.0,131.0,135.0,128.0,134.0,131.0,128.0
0.60,128.0,132.0,125.0,131.0,123.0,128.0,125.0,123.0
0.80,127.0,131.0,125.0,129.0,123.0,127.0,125.0,122.0
1.00,128.0,131.0,125.0,129.0,123.0,127.0,125.0,122.0
1.20,127.0,131.0,125.0,129.0,123.0,127.0,124.0,122.0
1.40,127.0,131.0,125.0,129.0,123.0,127.0,125.0,122.0
1.60,127.0,131.0,124.0,129.0,123.0,127.0,124.0,122.0
1.80,127.0,131.0,125.0,129.0,122.0,126.0,124.0,121.0
2.00,127.0,131.0,125.0,129.0,122.0,126.0,124.0,122.0
2.20,127.0,131.0,124.0,129.0,122.0,127.0,124.0,122.0
2.40,127.0,131.0,124.0,129.0,122.0,127.0,124.0,121.0
2.60,127.0,131.0,125.0,129.0,123.0,127.0,125.0,121.0
2.80,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
3.00,127.0,131.0,124.0,128.0,122.0,126.0,125.0,121.0
3.20,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
3.40,127.0,131.0,124.0,129.0,122.0,127.0,124.0,122.0
3.60,127.0,131.0,125.0,128.0,122.0,126.0,124.0,122.0
3.80,128.0,131.0,125.0,129.0,123.0,127.0,124.0,122.0
4.00,127.0,131.0,125.0,129.0,122.0,127.0,124.0,121.0
4.20,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
4.40,127.0,131.0,125.0,129.0,122.0,126.0,124.0,122.0
4.60,127.0,130.0,124.0,129.0,122.0,126.0,124.0,121.0
4.80,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
5.00,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
5.20,127.0,130.0,124.0,129.0,122.0,126.0,124.0,121.0
5.41,126.0,130.0,124.0,129.0,122.0,126.0,124.0,121.0
5.61,127.0,131.0,125.0,129.0,122.0,127.0,124.0,122.0
5.81,127.0,131.0,124.0,129.0,122.0,126.0,124.0,121.0
6.01,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
6.21,127.0,131.0,124.0,129.0,122.0,126.0,124.0,122.0
6.41,127.0,131.0,125.0,128.0,122.0,126.0,124.0,122.0
6.61,127.0,131.0,125.0,129.0,122.0,126.0,124.0,122.0
6.81,127.0,131.0,124.0,129.0,123.0,126.0,124.0,121.0
7.01,127.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
7.21,127.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
7.41,127.0,131.0,124.0,129.0,122.0,126.0,124.0,121.0
7.61,127.0,131.0,124.0,128.0,122.0,127.0,124.0,122.0
7.81,127.0,131.0,124.0,129.0,122.0,127.0,124.0,122.0
8.01,127.0,130.0,124.0,129.0,122.0,126.0,124.0,121.0
8.21,127.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
8.41,127.0,131.0,124.0,129.0,122.0,126.0,124.0,121.0
8.61,127.0,131.0,124.0,129.0,122.0,126.0,124.0,121.0
8.81,150.0,130.0,124.0,129.0,122.0,126.0,124.0,122.0
9.01,176.0,130.0,124.0,129.0,122.0,126.0,124.0,122.0
9.21,162.0,130.0,124.0,129.0,122.0,126.0,124.0,121.0
9.41,160.0,130.0,125.0,129.0,122.0,126.0,124.0,121.0
9.61,160.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
9.81,160.0,130.0,124.0,128.0,122.0,126.0,124.0,121.0
10.01,160.0,130.0,124.0,129.0,122.0,126.0,124.0,121.0
10.21,160.0,130.0,124.0,128.0,122.0,126.0,124.0,122.0
10.41,160.0,130.0,125.0,129.0,122.0,126.0,124.0,121.0
10.61,160.0,131.0,125.0,128.0,122.0,126.0,124.0,121.0
10.81,161.0,130.0,125.0,129.0,122.0,126.0,124.0,121.0
11.01,160.0,131.0,124.0,128.0,122.0,126.0,124.0,121.0
11.21,163.0,131.0,124.0,128.0,122.0,126.0,124.0,127.0
11.41,166.0,143.0,124.0,128.0,122.0,126.0,123.0,139.0
11.61,173.0,146.0,142.0,128.0,122.0,126.0,124.0,129.0
11.81,179.0,138.0,136.0,152.0,122.0,126.0,124.0,128.0
12.01,186.0,136.0,131.0,140.0,147.0,126.0,124.0,127.0
12.21,193.0,137.0,130.0,135.0,131.0,150.0,130.0,127.0
12.41,201.0,136.0,130.0,135.0,128.0,134.0,151.0,127.0
12.61,204.0,136.0,130.0,134.0,127.0,154.0,134.0,137.0
12.81,205.0,136.0,130.0,136.0,148.0,164.0,159.0,167.0
13.01,205.0,138.0,151.0,164.0,160.0,166.0,163.0,161.0
13.21,201.0,166.0,163.0,169.0,162.0,166.0,164.0,161.0
13.41,237.0,204.0,198.0,202.0,198.0,200.0,201.0,193.0
13.61,239.0,211.0,206.0,208.0,201.0,207.0,205.0,198.0
13.81,240.0,210.0,205.0,203.0,193.0,199.0,204.0,194.0
14.01,218.0,190.0,189.0,190.0,178.0,203.0,202.0,188.0
14.21,224.0,203.0,186.0,196.0,180.0,205.0,201.0,180.0
14.41,208.0,178.0,169.0,175.0,165.0,175.0,172.0,165.0
14.61,206.0,174.0,167.0,171.0,164.0,171.0,166.0,163.0
