Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.21,71.44,74.08,68.93,71.55
0.21,71.45,74.07,68.9,71.57
0.41,71.46,74.13,68.91,71.63
0.62,71.48,74.26,68.93,71.63
0.83,71.48,74.36,68.93,71.64
1.03,71.48,74.25,68.91,71.61
1.24,71.47,74.16,68.89,71.61
1.45,71.45,74.11,68.89,71.6
1.66,71.43,74.13,68.89,71.58
1.86,71.43,74.17,68.89,71.61
2.07,71.45,74.35,68.89,71.56
2.27,71.46,74.37,68.89,71.56
2.48,71.47,74.26,68.91,71.55
2.68,71.48,74.17,68.93,71.54
2.89,71.48,74.11,68.92,71.55
3.09,71.47,74.11,68.9,71.54
3.30,71.44,74.19,68.9,71.59
3.50,71.46,74.34,68.9,71.6
3.71,71.46,74.32,68.91,71.59
3.91,71.47,74.23,68.92,71.61
4.11,71.5,74.16,68.93,71.6
4.32,71.51,74.11,68.93,71.62
4.52,71.51,74.1,68.93,71.58
4.73,71.5,74.21,68.92,71.57
4.93,71.47,74.32,68.9,71.57
5.13,71.46,74.25,68.89,71.55
5.34,71.47,74.17,68.88,71.58
5.58,71.46,74.17,68.91,71.56
6.28,71.5,74.14,68.9,71.59
7.08,71.51,74.3,68.95,71.6
7.85,71.43,74.09,68.91,71.61
8.65,71.45,74.12,68.93,71.6
8.86,71.46,74.19,68.94,71.61
9.06,71.47,74.33,68.95,71.6
9.27,71.48,74.26,68.93,71.61
9.47,71.49,74.19,68.94,71.6
9.67,71.44,74.13,68.94,71.61
10.03,73.3,74.12,68.92,71.58
10.29,85.18,74.24,68.91,71.6
10.51,92.9,74.29,68.93,71.58
10.71,102.65,74.24,68.93,71.61
10.91,116.68,74.09,68.91,71.64
11.48,116.49,74.14,68.91,71.6
11.70,116.51,74.26,68.92,71.6
11.91,116.61,74.26,68.93,71.55
12.25,116.69,83.07,68.91,71.56
12.48,116.69,94.25,68.91,71.54
12.68,116.77,106.05,75.91,71.58
12.92,116.78,114.97,84.08,71.59
13.12,116.82,125.54,92.62,80.53
13.32,116.81,127.06,99.44,87.54
13.52,119.03,127.31,108.63,97.74
13.72,119.04,127.33,113.92,108.18
13.92,119.04,127.49,113.12,117.2
14.12,119.04,127.7,112.98,122.26
14.32,119.02,128.05,113.06,121.83
14.52,116.83,127.6,112.45,121.53
14.92,116.83,127.5,112.49,121.58
15.12,116.79,127.51,112.5,121.7
15.36,116.97,128.05,113.08,123.0
15.56,118.32,129.31,114.21,123.86
15.76,118.59,129.51,114.33,124.17
15.96,118.98,130.68,114.62,124.79
16.16,121.13,131.65,115.47,125.52
16.36,123.75,133.66,119.01,127.4
16.56,123.76,132.93,117.66,126.83
16.76,123.43,132.95,117.61,126.76
16.96,123.19,132.3,117.31,126.41
17.16,121.0,131.52,116.42,125.6
17.36,118.32,129.4,112.72,122.99
17.56,116.93,128.93,112.41,122.39
17.76,116.9,128.91,112.43,122.43
17.96,116.84,128.85,112.43,122.41
18.16,117.58,129.19,112.62,122.61
18.39,118.38,129.98,113.33,123.31
