Time(S),GPU0_Power(W)
0.02,138.04
0.02,138.43
0.22,139.02
0.42,139.65
0.62,140.24
0.82,141.11
1.02,141.32
1.22,141.34
1.42,135.24
1.62,124.09
1.82,113.29
2.02,101.32
2.22,90.01
2.42,84.78
2.62,84.63
2.82,84.47
3.02,84.35
3.22,84.33
3.42,84.29
3.62,84.34
3.82,84.26
4.02,84.33
4.22,84.33
4.42,84.36
4.62,84.3
4.82,84.39
5.02,84.43
5.22,84.39
5.42,84.27
5.62,86.85
5.82,97.49
6.02,108.28
6.22,118.12
6.42,129.34
6.62,137.32
6.82,137.02
7.02,137.08
7.22,137.15
7.42,137.19
7.62,137.19
7.82,137.17
8.02,137.04
8.22,137.01
8.42,137.01
8.62,137.06
8.83,137.33
9.04,137.71
9.24,137.97
9.44,137.99
9.64,138.23
9.84,139.49
10.04,143.51
10.24,146.26
10.44,153.21
10.64,158.5
10.84,161.12
11.04,161.41
11.24,164.82
11.44,163.47
11.64,163.31
11.84,165.3
12.04,166.9
12.24,165.16
12.44,163.32
12.64,163.13
12.84,165.04
13.04,162.81
13.24,162.28
13.44,163.93
13.64,165.53
13.84,162.31
14.04,161.54
14.24,163.92
14.44,165.03
14.64,162.43
14.84,162.52
15.04,164.49
15.24,165.2
15.44,162.66
15.64,162.04
15.84,164.16
16.04,160.33
16.24,157.88
16.44,161.53
16.64,163.26
16.84,161.16
17.04,163.37
17.24,166.01
17.44,163.77
17.64,162.85
17.84,164.01
18.04,165.97
18.24,164.96
18.44,163.71
18.64,162.43
18.85,157.61
19.05,150.04
19.25,144.45
19.45,140.46
19.65,137.3
19.85,137.45
20.05,137.5
20.25,137.68
20.45,137.79
20.65,137.78
