Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.00,137.0,125.0,147.0,128.0
0.00,137.0,125.0,147.0,128.0
0.20,121.0,100.0,140.0,106.0
0.40,87.0,78.0,99.0,86.0
0.60,133.0,114.0,128.0,118.0
0.80,136.0,122.0,137.0,100.0
1.00,136.0,81.0,107.0,85.0
1.20,133.0,75.0,136.0,84.0
1.40,133.0,75.0,140.0,83.0
1.60,132.0,75.0,142.0,83.0
1.80,132.0,74.0,142.0,83.0
2.00,133.0,74.0,141.0,83.0
2.20,133.0,74.0,141.0,83.0
2.40,133.0,74.0,141.0,83.0
2.60,133.0,74.0,141.0,83.0
2.80,133.0,74.0,141.0,83.0
3.00,140.0,120.0,149.0,124.0
3.20,134.0,84.0,143.0,92.0
3.40,133.0,76.0,141.0,84.0
3.60,133.0,75.0,141.0,83.0
3.80,106.0,74.0,141.0,83.0
4.00,85.0,74.0,142.0,83.0
4.20,82.0,74.0,142.0,83.0
4.40,109.0,109.0,140.0,84.0
4.60,100.0,130.0,128.0,83.0
4.80,84.0,128.0,141.0,83.0
5.00,82.0,89.0,144.0,83.0
5.20,82.0,77.0,144.0,83.0
5.40,82.0,75.0,145.0,83.0
5.60,82.0,75.0,144.0,83.0
5.80,82.0,75.0,144.0,83.0
6.00,82.0,74.0,144.0,83.0
6.20,82.0,74.0,146.0,83.0
6.40,82.0,74.0,145.0,83.0
6.60,82.0,74.0,144.0,83.0
6.80,82.0,74.0,144.0,83.0
7.00,82.0,74.0,145.0,83.0
7.20,82.0,74.0,145.0,83.0
7.40,82.0,74.0,145.0,83.0
7.60,82.0,74.0,144.0,83.0
7.80,82.0,74.0,145.0,83.0
8.00,82.0,74.0,144.0,83.0
8.20,82.0,74.0,143.0,83.0
8.40,82.0,74.0,144.0,83.0
8.60,82.0,74.0,144.0,83.0
8.80,82.0,74.0,145.0,83.0
9.00,82.0,74.0,146.0,104.0
9.20,82.0,74.0,145.0,89.0
9.40,126.0,74.0,141.0,84.0
9.60,131.0,74.0,141.0,83.0
9.80,103.0,74.0,141.0,83.0
10.00,101.0,74.0,141.0,83.0
10.20,128.0,74.0,141.0,83.0
10.40,133.0,105.0,143.0,83.0
10.60,139.0,79.0,144.0,83.0
10.80,133.0,75.0,143.0,83.0
11.00,125.0,74.0,143.0,83.0
11.20,110.0,81.0,117.0,90.0
11.40,135.0,123.0,144.0,127.0
11.60,130.0,86.0,104.0,98.0
11.80,132.0,76.0,94.0,108.0
12.00,134.0,75.0,93.0,89.0
12.20,134.0,75.0,93.0,84.0
12.86,134.0,79.0,94.0,89.0
13.06,134.0,75.0,128.0,84.0
13.27,134.0,75.0,138.0,83.0
13.47,138.0,101.0,144.0,106.0
13.67,134.0,124.0,106.0,126.0
13.87,134.0,85.0,94.0,129.0
14.07,133.0,76.0,108.0,106.0
14.27,134.0,75.0,135.0,86.0
14.47,134.0,119.0,138.0,117.0
14.67,134.0,83.0,102.0,105.0
14.87,134.0,76.0,135.0,86.0
15.07,134.0,95.0,140.0,101.0
15.27,133.0,83.0,140.0,100.0
15.47,133.0,103.0,139.0,85.0
15.67,133.0,78.0,139.0,84.0
15.87,133.0,75.0,138.0,83.0
16.07,133.0,75.0,126.0,83.0
16.27,133.0,75.0,97.0,83.0
16.47,133.0,74.0,93.0,83.0
16.67,133.0,74.0,92.0,83.0
16.87,133.0,74.0,92.0,83.0
17.07,133.0,74.0,92.0,83.0
17.27,133.0,74.0,92.0,83.0
17.47,133.0,74.0,92.0,83.0
17.67,133.0,74.0,92.0,83.0
17.87,133.0,74.0,92.0,83.0
18.07,133.0,74.0,100.0,83.0
18.27,128.0,74.0,105.0,83.0
18.47,138.0,115.0,138.0,118.0
18.67,137.0,102.0,142.0,130.0
18.87,98.0,104.0,144.0,131.0
19.07,93.0,87.0,151.0,102.0
19.27,113.0,91.0,149.0,101.0
19.47,136.0,117.0,150.0,92.0
19.67,139.0,123.0,164.0,84.0
19.87,136.0,87.0,160.0,84.0
20.07,161.0,139.0,174.0,151.0
20.27,176.0,171.0,183.0,171.0
20.47,162.0,157.0,167.0,157.0
20.67,166.0,162.0,163.0,150.0
20.87,143.0,128.0,167.0,146.0
21.07,134.0,82.0,169.0,103.0
21.27,134.0,94.0,158.0,90.0
21.47,158.0,151.0,175.0,140.0
21.67,159.0,137.0,167.0,138.0
21.87,142.0,88.0,149.0,95.0
22.07,162.0,134.0,167.0,136.0
22.27,164.0,151.0,168.0,151.0
22.47,159.0,151.0,165.0,151.0
22.67,111.0,93.0,149.0,100.0
22.87,116.0,108.0,130.0,125.0
23.07,143.0,134.0,150.0,138.0
23.27,130.0,96.0,112.0,108.0
23.47,162.0,148.0,163.0,150.0
23.67,162.0,154.0,167.0,154.0
23.87,112.0,96.0,149.0,103.0
24.07,149.0,139.0,163.0,142.0
24.27,160.0,150.0,166.0,150.0
24.47,157.0,149.0,163.0,150.0
24.67,138.0,92.0,148.0,99.0
24.87,159.0,144.0,164.0,144.0
25.07,171.0,160.0,175.0,160.0
25.27,150.0,132.0,158.0,134.0
25.47,127.0,104.0,150.0,109.0
25.67,145.0,126.0,152.0,138.0
25.87,157.0,131.0,150.0,136.0
26.07,167.0,154.0,169.0,154.0
26.27,149.0,126.0,155.0,128.0
26.47,136.0,109.0,149.0,113.0
26.67,159.0,147.0,164.0,147.0
26.87,166.0,155.0,172.0,157.0
27.07,129.0,108.0,152.0,113.0
27.27,144.0,134.0,165.0,138.0
27.47,141.0,104.0,148.0,110.0
27.67,162.0,142.0,163.0,144.0
27.87,170.0,158.0,174.0,159.0
28.07,127.0,103.0,151.0,109.0
28.27,134.0,121.0,154.0,125.0
28.47,168.0,158.0,174.0,158.0
28.67,170.0,161.0,174.0,160.0
28.87,144.0,100.0,151.0,106.0
29.07,162.0,141.0,166.0,143.0
29.27,165.0,154.0,169.0,154.0
29.47,160.0,153.0,166.0,153.0
29.67,142.0,95.0,149.0,101.0
29.87,153.0,140.0,162.0,141.0
30.07,163.0,152.0,168.0,153.0
30.27,154.0,146.0,160.0,147.0
30.47,112.0,92.0,149.0,99.0
30.67,160.0,151.0,169.0,151.0
30.87,164.0,157.0,172.0,156.0
31.07,151.0,141.0,158.0,142.0
31.27,113.0,94.0,153.0,100.0
31.47,161.0,151.0,173.0,152.0
31.67,167.0,158.0,172.0,157.0
31.87,149.0,125.0,156.0,144.0
32.07,135.0,82.0,147.0,114.0
32.27,154.0,138.0,162.0,142.0
32.47,114.0,105.0,118.0,137.0
32.67,158.0,151.0,163.0,154.0
32.87,158.0,152.0,164.0,152.0
33.07,116.0,94.0,149.0,115.0
33.27,150.0,140.0,160.0,144.0
33.47,169.0,161.0,174.0,160.0
33.67,152.0,145.0,159.0,145.0
33.87,117.0,97.0,149.0,103.0
34.07,145.0,137.0,150.0,135.0
34.27,138.0,138.0,133.0,120.0
34.47,159.0,153.0,162.0,149.0
34.67,157.0,151.0,162.0,150.0
34.87,114.0,93.0,148.0,99.0
35.07,150.0,141.0,161.0,141.0
35.27,160.0,152.0,165.0,151.0
35.47,154.0,148.0,161.0,149.0
35.67,118.0,91.0,148.0,109.0
35.87,147.0,137.0,156.0,141.0
36.07,129.0,113.0,130.0,116.0
36.27,160.0,151.0,164.0,152.0
36.47,153.0,147.0,159.0,147.0
36.67,140.0,94.0,149.0,106.0
36.87,166.0,154.0,172.0,154.0
37.07,166.0,157.0,170.0,156.0
37.27,148.0,124.0,156.0,127.0
37.47,133.0,112.0,149.0,116.0
37.67,160.0,157.0,172.0,153.0
37.87,251.0,246.0,257.0,250.0
38.07,232.0,231.0,238.0,229.0
38.27,139.0,121.0,161.0,123.0
38.47,129.0,87.0,150.0,94.0
38.67,110.0,82.0,151.0,90.0
38.87,92.0,81.0,152.0,89.0
39.07,89.0,81.0,151.0,89.0
39.27,89.0,81.0,148.0,89.0
39.47,84.0,77.0,151.0,85.0
39.67,82.0,75.0,147.0,84.0
39.87,82.0,75.0,149.0,84.0
40.07,82.0,75.0,147.0,83.0
40.27,82.0,75.0,148.0,83.0
40.47,98.0,75.0,147.0,83.0
40.67,108.0,74.0,149.0,83.0
40.87,128.0,110.0,150.0,84.0
41.07,132.0,81.0,147.0,83.0
41.27,101.0,75.0,145.0,83.0
41.47,84.0,75.0,147.0,83.0
41.67,82.0,74.0,146.0,83.0
41.87,82.0,74.0,146.0,83.0
42.07,82.0,74.0,146.0,83.0
42.27,82.0,74.0,146.0,83.0
42.47,82.0,74.0,146.0,83.0
42.67,85.0,80.0,168.0,87.0
42.87,116.0,111.0,166.0,115.0
43.07,133.0,126.0,158.0,128.0
43.27,101.0,81.0,148.0,89.0
43.47,86.0,77.0,150.0,87.0
43.67,101.0,90.0,149.0,96.0
43.87,134.0,128.0,151.0,130.0
