Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.13,122.3,150.22,117.23,129.19
0.13,122.34,150.23,117.18,129.18
0.33,122.25,150.3,117.19,129.21
0.53,122.22,150.3,117.19,129.21
0.73,122.2,150.31,117.19,129.12
0.93,122.05,150.1,117.03,129.14
1.13,122.04,140.81,114.96,117.5
1.33,122.06,126.19,104.66,105.22
1.53,122.06,112.83,95.27,94.8
1.73,121.82,99.35,85.81,83.02
1.93,112.21,84.49,75.34,73.84
2.14,101.35,82.85,69.75,73.67
2.34,92.01,82.43,69.63,73.58
2.55,81.48,82.12,69.56,73.56
2.75,72.54,81.94,69.5,73.5
2.96,72.39,81.74,69.47,73.53
3.17,72.31,81.59,69.46,73.47
3.37,72.29,81.38,69.47,73.51
3.58,72.25,81.24,69.47,73.47
3.79,72.23,81.09,69.45,73.38
3.99,72.18,81.0,69.43,73.42
4.20,72.18,80.9,69.43,73.4
4.40,72.2,80.87,69.43,73.41
4.61,72.2,80.8,69.45,73.4
4.82,72.2,80.76,69.44,73.34
5.03,72.2,80.7,69.44,73.39
5.27,72.15,80.48,69.41,73.36
5.99,72.15,80.38,69.4,73.33
6.38,72.14,79.93,71.16,73.29
7.53,72.05,79.77,72.43,73.29
8.32,72.07,79.73,72.46,73.28
8.52,72.06,79.71,72.46,73.26
8.73,72.08,79.64,71.84,73.29
8.94,72.09,79.56,71.24,73.27
9.29,72.08,79.51,70.1,73.28
9.55,83.83,79.39,69.36,73.25
9.78,93.01,79.33,69.35,73.21
9.98,101.91,79.24,69.36,73.19
10.18,110.88,79.19,69.39,73.15
10.38,118.63,79.21,69.39,73.18
10.58,117.96,79.17,69.39,73.15
10.78,117.56,78.97,69.34,73.08
11.79,117.58,78.83,69.34,73.07
12.64,117.53,78.75,69.33,73.08
12.93,117.54,78.66,69.3,73.05
13.35,117.57,78.61,69.29,73.07
13.78,117.58,78.53,69.3,73.02
14.19,117.58,78.47,69.31,73.03
14.62,117.58,78.4,69.26,72.97
15.20,117.65,78.33,69.28,72.97
16.04,117.57,78.28,69.28,72.94
16.26,117.56,78.26,69.27,72.99
16.47,117.54,78.23,69.31,72.98
16.68,117.57,78.21,69.32,72.94
16.90,117.57,78.18,69.29,72.94
17.12,117.57,78.19,69.29,72.93
17.33,117.59,78.14,69.29,72.94
17.54,117.59,78.14,69.29,72.95
17.75,117.6,78.11,69.31,72.92
17.97,117.64,78.12,69.31,72.92
18.18,117.62,78.1,69.29,72.89
18.39,117.61,78.07,69.26,72.9
18.60,117.6,78.07,69.26,72.89
18.89,117.65,79.87,69.25,72.91
19.17,117.63,93.39,69.25,72.91
19.39,117.68,106.73,70.84,72.93
19.62,117.69,118.02,80.48,72.9
19.82,117.67,129.25,88.11,74.43
20.02,117.66,136.7,95.83,84.09
20.22,118.73,136.53,105.64,95.75
20.42,119.86,136.97,113.72,104.12
20.62,119.89,137.26,114.1,114.35
20.82,119.89,137.56,113.74,123.61
21.02,119.91,137.81,113.75,124.44
21.22,117.71,137.47,113.17,123.93
21.66,117.74,137.59,113.18,123.99
21.86,117.77,137.79,113.22,124.0
22.11,117.96,138.35,113.68,124.67
22.31,119.28,139.85,114.96,125.94
22.51,119.28,140.05,115.05,126.05
22.71,119.42,140.27,115.15,126.28
22.91,121.07,141.04,115.58,126.9
23.11,121.07,141.07,115.11,126.16
23.31,119.69,140.36,114.61,125.8
23.61,122.7,141.96,115.87,127.06
23.81,124.55,143.54,117.54,128.64
24.01,127.92,146.79,120.37,131.72
24.21,130.64,149.89,122.73,134.41
24.41,133.01,150.57,123.14,134.84
24.61,127.26,147.07,119.5,130.77
24.99,126.94,146.45,119.02,130.9
25.19,127.38,146.79,119.43,131.41
25.39,127.86,147.8,119.89,131.84
25.59,130.29,149.65,121.93,134.03
26.00,129.47,149.26,120.99,133.07
26.20,122.76,143.87,116.46,128.19
26.61,123.06,144.71,117.02,128.76
26.81,126.79,147.36,118.8,131.01
27.01,126.76,147.22,119.34,130.71
27.21,129.76,149.75,121.34,132.89
27.41,132.84,151.67,123.25,135.23
27.61,130.78,150.02,121.38,133.25
27.81,125.43,146.72,117.89,129.81
28.11,126.82,147.68,118.89,130.81
28.31,124.32,146.06,117.46,129.04
28.51,126.61,148.19,119.3,130.91
28.81,129.62,150.59,121.54,133.32
29.01,130.54,150.72,121.79,133.51
29.21,127.99,149.58,120.08,131.69
29.41,126.02,147.64,119.28,130.89
29.74,126.12,148.18,119.08,130.83
29.94,126.05,147.22,118.28,129.0
30.14,125.7,148.53,119.4,130.71
30.34,130.11,151.09,121.62,133.01
30.54,133.09,152.93,123.85,135.11
30.74,131.4,151.13,122.18,133.56
30.94,126.37,147.5,118.57,130.43
31.26,127.29,148.78,119.58,131.35
31.46,127.06,148.59,119.41,131.26
31.66,127.41,149.81,120.34,132.94
31.86,130.29,152.63,122.14,135.61
32.06,132.57,153.21,123.46,135.94
32.26,126.89,149.16,119.28,131.46
32.64,127.11,149.28,119.64,131.67
32.84,127.89,149.75,119.98,131.71
33.04,128.18,150.53,120.73,132.53
33.24,130.84,152.99,122.98,134.97
33.44,132.17,153.63,123.57,135.54
33.64,126.41,149.15,119.15,131.05
33.95,122.44,146.74,116.64,128.83
34.26,122.5,145.5,115.74,127.31
34.46,121.72,146.3,116.32,128.31
34.69,125.12,148.0,117.93,130.2
34.89,127.69,151.11,120.59,132.95
35.09,129.65,151.44,121.03,133.49
35.29,129.5,151.98,121.07,133.62
35.49,126.52,150.12,120.08,131.63
35.87,126.88,150.14,119.75,131.74
36.07,122.87,146.79,116.57,128.57
36.31,124.96,148.58,118.35,130.17
36.51,126.21,148.75,118.67,130.14
36.92,127.6,150.57,120.52,132.61
37.12,129.61,151.46,121.23,133.14
37.32,123.93,147.29,117.05,129.13
37.71,123.9,147.19,116.74,129.17
38.08,123.02,146.27,115.65,127.64
38.28,127.09,149.87,119.4,130.96
38.48,129.61,152.08,121.12,132.74
38.68,132.37,155.1,123.21,135.2
38.88,133.77,155.51,124.04,135.55
39.08,127.13,150.96,119.91,131.43
39.46,125.93,150.73,118.96,130.98
39.66,122.26,147.11,116.18,128.02
39.98,124.7,149.74,118.62,130.74
40.18,128.3,151.73,120.58,132.83
40.38,129.09,151.99,120.5,133.06
40.58,129.52,152.74,121.1,133.48
40.78,126.73,150.38,118.83,130.96
41.17,125.88,150.62,119.17,131.24
41.37,126.53,149.98,118.3,129.73
41.57,127.69,151.52,119.65,131.9
41.77,129.79,153.15,121.19,133.42
41.97,129.85,153.03,121.04,133.44
42.17,127.99,151.3,119.16,131.36
42.37,125.59,149.33,117.64,129.31
42.57,122.0,146.99,115.11,127.08
42.77,118.11,144.41,112.94,124.85
42.97,118.07,144.38,112.95,124.78
43.17,118.1,144.34,112.95,124.77
43.37,118.07,144.32,112.95,124.78
43.57,118.1,144.29,112.97,124.78
43.77,118.06,144.29,112.96,124.79
43.97,118.02,144.28,112.98,124.77
44.17,118.01,144.29,112.97,124.81
44.37,118.27,144.56,113.13,124.95
44.60,119.04,145.33,113.86,125.62
44.80,119.83,146.16,114.59,126.4
