Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.13,121.99,149.01,116.99,129.0
0.13,122.02,149.06,117.0,129.01
0.33,122.02,148.98,116.98,129.01
0.53,122.07,148.98,116.99,128.96
0.73,122.09,148.94,117.0,128.9
0.93,122.07,148.89,116.9,128.15
1.13,122.02,143.01,115.53,115.02
1.33,122.08,129.02,105.18,102.98
1.53,122.01,115.93,96.11,91.88
1.73,122.08,101.89,86.18,81.75
1.93,112.84,88.35,76.54,73.62
2.13,102.8,82.26,69.47,73.5
2.33,92.43,81.86,69.33,73.49
2.54,82.67,81.63,69.25,73.42
2.74,72.82,81.43,69.21,73.42
2.95,72.35,81.25,69.21,73.4
3.15,72.24,81.12,69.2,73.33
3.35,72.2,80.97,69.18,73.35
3.56,72.18,80.83,69.18,73.32
3.76,72.16,80.69,69.18,73.31
3.97,72.13,80.58,69.21,73.31
4.17,72.13,80.4,69.18,73.3
4.38,72.12,80.22,69.19,73.31
4.58,72.1,80.09,69.15,73.29
4.79,72.12,80.01,69.18,73.24
4.99,72.1,79.97,69.17,73.29
5.20,72.08,79.93,69.17,73.26
5.79,72.05,80.59,69.15,73.21
6.74,71.98,82.41,69.14,74.94
8.10,71.98,82.06,69.12,75.52
8.30,71.97,81.35,69.14,76.06
8.50,71.94,80.67,69.11,76.1
8.70,71.95,79.94,69.15,76.14
8.91,71.98,79.32,69.16,76.1
9.11,72.0,78.88,69.12,75.56
9.48,81.75,78.83,69.13,74.79
9.72,92.2,78.78,69.13,74.18
9.93,101.12,78.74,69.11,73.62
10.13,109.17,78.71,69.11,73.08
10.33,118.84,78.67,69.1,73.08
10.53,118.3,78.63,69.12,73.05
10.73,117.48,78.56,69.11,73.04
10.93,117.46,78.84,69.03,72.96
12.36,117.37,78.75,69.03,72.89
13.40,117.31,78.56,69.03,72.83
14.50,117.37,78.46,69.04,72.87
14.93,117.43,78.37,69.04,72.88
15.39,117.44,78.38,69.03,72.88
15.89,117.49,78.36,69.06,72.86
16.18,117.45,78.35,69.03,72.86
16.60,117.46,78.32,69.01,72.88
17.02,117.47,78.26,69.03,72.88
17.56,117.42,78.24,69.05,72.88
17.78,117.44,78.19,69.04,72.87
17.99,117.44,78.14,69.05,72.86
18.20,117.45,78.11,69.0,72.87
18.41,117.49,78.1,68.98,72.85
18.62,117.52,78.1,69.0,72.79
18.83,117.49,78.05,69.01,72.8
19.04,117.52,78.04,69.03,72.78
19.24,117.51,78.04,69.01,72.78
19.45,117.51,78.02,69.03,72.78
19.66,117.47,78.03,69.08,72.74
19.87,117.49,78.02,69.05,72.78
20.08,117.54,78.0,69.03,72.75
20.42,117.52,77.9,69.02,72.77
20.95,117.48,89.18,69.03,72.79
21.19,117.45,101.58,69.03,72.77
21.39,117.47,115.67,74.8,72.81
21.63,117.51,126.78,83.4,72.8
21.83,117.5,136.56,92.11,81.91
22.03,117.49,136.0,98.48,89.37
22.23,119.61,136.27,107.68,100.38
22.43,119.63,136.54,114.17,109.76
22.63,119.65,136.76,113.46,119.75
22.83,119.74,137.0,113.26,124.91
23.03,119.73,137.2,113.25,124.23
23.23,117.64,136.79,112.54,123.8
23.67,117.62,136.94,112.55,123.77
23.87,117.58,137.13,112.57,123.79
24.12,117.66,137.6,113.18,128.12
24.32,119.1,139.07,114.36,129.1
24.52,119.33,139.36,114.5,129.11
24.72,119.55,139.76,114.79,129.59
24.92,121.16,140.69,115.54,130.33
