Time(S),GPU0_Power(W)
0.26,264.76
0.26,267.20
0.51,266.81
0.76,268.13
1.01,262.53
1.26,262.70
1.52,262.00
1.77,261.75
2.03,269.97
2.28,262.39
2.53,264.25
2.78,269.19
3.03,271.44
3.28,264.31
3.58,262.93
3.84,264.75
4.10,265.04
4.35,271.61
4.61,263.16
4.86,262.79
5.11,265.13
5.36,266.94
5.61,265.55
5.86,271.37
6.10,274.77
6.36,265.77
6.68,273.55
6.94,271.36
7.19,266.48
7.43,268.65
7.68,358.37
7.94,366.79
8.21,365.34
8.48,377.05
8.74,376.84
9.01,358.66
9.27,376.27
9.53,380.48
9.80,365.58
10.06,367.10
10.32,364.50
10.59,357.57
10.87,365.04
11.14,279.85
11.39,273.85
11.64,266.52
11.89,268.60
12.13,265.86
12.38,272.03
12.63,269.33
12.87,264.27
13.12,266.50
13.37,269.11
