Time(S),GPU0_Power(W)
0.02,35.08
0.02,35.08
0.23,33.44
0.43,33.46
0.63,33.94
0.83,33.46
1.03,33.45
1.23,33.44
1.43,33.43
1.63,31.7
1.83,31.69
2.03,31.6
2.23,31.59
2.43,31.5
2.63,31.59
2.83,31.59
3.03,31.59
3.23,31.59
3.43,31.6
3.63,31.59
3.83,31.5
4.03,31.6
4.23,31.5
4.43,31.5
4.63,31.59
4.83,31.5
5.03,31.5
5.23,31.5
5.43,31.59
5.63,31.5
5.83,31.5
6.03,31.8
6.23,34.88
6.43,34.78
6.63,34.88
6.83,34.88
7.03,34.88
7.23,34.87
7.43,34.79
7.63,34.87
7.83,34.77
8.03,33.33
8.23,33.33
8.43,33.24
8.63,33.33
8.83,33.43
9.04,33.24
9.63,33.33
9.87,33.33
10.13,33.24
10.36,33.33
10.63,33.35
11.16,33.33
11.73,33.33
12.29,33.33
12.72,33.34
13.01,33.33
13.78,33.33
13.98,33.24
14.18,33.43
14.38,33.43
14.58,33.43
14.78,33.33
14.98,33.43
15.18,33.33
15.38,33.33
15.58,33.43
15.78,33.24
15.98,33.33
16.18,33.43
16.38,33.33
16.58,33.43
16.78,33.52
16.98,33.43
17.19,33.43
17.39,33.24
17.59,33.36
17.79,33.72
18.04,33.34
18.56,33.34
18.76,33.44
18.96,60.33
19.16,33.58
19.36,35.85
19.70,35.95
19.98,35.95
20.18,36.16
20.38,36.04
20.59,36.04
20.79,33.36
21.14,33.34
21.44,94.13
21.64,33.36
21.84,58.65
22.06,58.65
22.27,33.28
22.47,33.25
22.68,33.25
22.88,35.1
23.08,35.08
23.28,35.08
23.68,35.08
23.88,35.21
24.08,35.08
24.30,35.08
24.50,33.85
24.87,33.45
25.15,75.95
25.35,33.36
25.55,33.45
25.77,55.15
25.97,33.38
26.17,33.44
26.39,33.44
26.59,33.39
26.79,44.11
27.12,44.57
27.63,44.57
27.83,44.21
28.03,44.34
28.24,44.34
28.44,33.78
28.64,33.55
28.85,33.55
29.05,33.57
29.37,33.45
29.59,47.81
29.79,33.49
29.99,35.4
30.19,35.38
30.39,35.47
30.59,35.47
30.79,35.45
30.99,35.36
31.19,35.46
31.39,35.35
31.59,35.36
31.79,33.42
31.99,33.52
32.19,33.43
32.39,33.43
32.59,33.52
32.80,33.43
33.00,33.33
33.20,33.33
