gpu,dataset,raw_images,grouped_samples,num_batches,total_gflops,T_IO_pred_s,T_infer_pred_s,P_IO_pred_w,P_infer_pred_w,E_IO_pred_j,E_infer_pred_j,E_total_pred_j,system_gflops_per_j_pred
A100,R1000,1000,784,1,1309.28,0.10440674883837181,0.39002102011467626,33.73041666666667,33.763048973785814,3.5216831411302976,13.168298802937716,16.689981944068013,78.44705910334115
A100,R2000,2000,1521,2,2540.0699999999997,0.228822654960694,0.4514178544664451,33.73041666666667,36.51986392501524,7.71828349459711,16.485718618436906,24.204002113034015,104.94421493345331
A100,R4000,4000,3080,4,5143.599999999999,0.492003655835457,0.5742115231699829,33.73041666666667,42.03349382747409,16.59548831285323,24.136116514829972,40.7316048276832,126.28031774736644
A100,R8000,8000,6320,7,10554.4,1.0389609636188002,0.7584020262252895,33.73041666666667,50.303938681162364,35.04458620326364,38.15060902290625,73.19519522616989,144.19525718030226
A100,R12000,12000,9604,10,16038.679999999998,1.5933460866930285,0.9425925292805963,33.73041666666667,58.57438353485064,53.744227398358646,55.21177632716658,108.95600372552522,147.2032696830877
A100,R16000,16000,12656,13,21135.52,2.1085663655062272,1.126783032335903,33.73041666666667,66.84482838853891,71.122822077844,75.31961842761092,146.44244050545493,144.32646661070027
A100,R20000,20000,16002,16,26723.34,2.6734179555812476,1.3109735353912095,33.73041666666667,75.11527324222719,90.17550156590364,98.4741353242393,188.64963689014294,141.65593128367325
A100,R26000,26000,20880,21,34869.6,3.4968925689661696,1.617957707150054,33.73041666666667,88.89934799837432,117.95164338979932,143.83538525458445,261.7870286443838,133.19834898071858
B200,R1000,1000,784,1,1309.28,0.11783221069440586,0.59867420271145,197.11228571428572,196.49160870080604,23.22617638074164,117.63445717844527,140.8606335591869,9.294860933944799
B200,R2000,2000,1521,2,2540.0699999999997,0.2572151493973989,0.6273660586873974,197.11228571428572,196.84980512091036,50.700266018062784,123.49688639208779,174.19715241015058,14.581581643879893
B200,R4000,4000,3080,4,5143.599999999999,0.5520563996524414,0.6847497706392921,197.11228571428572,197.56619796111897,108.81709877869193,135.2834087399532,244.10050751864512,21.0716481185813
B200,R8000,8000,6320,7,10554.4,1.1648117882517595,0.7708253385671342,197.11228571428572,198.64078722143194,229.59871400924888,153.11735206320233,382.7160660724512,27.57762460382828
B200,R12000,12000,9604,10,16038.679999999998,1.7858885463258833,0.8569009064949763,197.11228571428572,199.71537648174487,352.0205733972579,171.13628714819265,523.1568605454506,30.65749722421273
B200,R16000,16000,12656,13,21135.52,2.36308899262376,0.9429764744228184,197.11228571428572,200.7899657420578,465.7938726823382,189.34021399492414,655.1340866772623,32.26136516143749
B200,R20000,20000,16002,16,26723.34,2.995891316776019,1.0290520423506604,197.11228571428572,201.86455500237076,590.5269852013023,207.72913260339686,798.2561178046992,33.4771502578551
B200,R26000,26000,20880,21,34869.6,3.918428596278326,1.1725113222303973,197.11228571428572,203.65553710289234,772.3704170206408,238.78842308805403,1011.1588401086949,34.48478974505299
H200,R1000,1000,784,1,1309.28,0.10896990891242894,0.3037951324945833,135.75600000000003,133.4834359886202,14.793318954315707,40.5516181219951,55.344937076310806,23.656725784957278
H200,R2000,2000,1521,2,2540.0699999999997,0.18475247436426506,0.33749649772264206,135.75600000000003,134.64414829302987,25.081256909795172,45.441928487745635,70.5231853975408,36.0175165894956
H200,R4000,4000,3080,4,5143.599999999999,0.34505779259956015,0.40489922817875956,135.75600000000003,136.9655729018492,46.8436656921459,55.45725475502037,102.30092044716628,50.27911750468005
H200,R8000,8000,6320,7,10554.4,0.6782131685343621,0.5060033238629359,135.75600000000003,140.4477098150782,92.07150690755088,71.06700799536667,163.13851490291756,64.69594262446755
H200,R12000,12000,9604,10,16038.679999999998,1.0158928767349453,0.6071074195471122,135.75600000000003,143.92984672830724,137.91355337402928,87.38087784303399,225.29443121706328,71.18986436263617
H200,R16000,16000,12656,13,21135.52,1.3297170148068636,0.7082115152312884,135.75600000000003,147.41198364153624,180.5170630621206,104.39886429802229,284.91592736014286,74.18160225659841
H200,R20000,20000,16002,16,26723.34,1.6737719184728657,0.8093156109154649,135.75600000000003,150.89412055476524,227.2245805642024,122.12096736033163,349.345547924534,76.49543599099424
H200,R26000,26000,20880,21,34869.6,2.175355845574707,0.9778224370557587,135.75600000000003,156.6976820768136,295.31760817184,153.22250936933835,448.54011754117835,77.74020346529825
MI300A,R1000,1000,784,1,1309.28,0.1094027183923363,1.7541251157120321,119.86111111111111,142.135148204885,13.11313138508142,249.32283329164076,262.43596467672216,4.988950358281941
MI300A,R2000,2000,1521,2,2540.0699999999997,0.2084022449948726,1.896459078720929,119.86111111111111,143.6152599257862,24.979324643135424,272.36046352912325,297.3397881722587,8.54265086961202
MI300A,R4000,4000,3080,4,5143.599999999999,0.4178191540496271,2.1811270047387223,119.86111111111111,146.5754833675886,50.08026804789281,319.6997450056789,369.7800130535717,13.909891877403398
MI300A,R8000,8000,6320,7,10554.4,0.8530409534963267,2.608128893765413,119.86111111111111,151.0158185302922,102.24643650935138,393.8687197244893,496.1151562338407,21.27409305557529
MI300A,R12000,12000,9604,10,16038.679999999998,1.294173172441685,3.0351307827921037,119.86111111111111,155.45615369299577,155.12103441905197,471.8297574480718,626.9507918671238,25.582039624250513
MI300A,R16000,16000,12656,13,21135.52,1.7041413613032057,3.462132671818794,119.86111111111111,159.89648885569935,204.26027705620368,553.5828581764264,757.8431352326301,27.889043282700147
MI300A,R20000,20000,16002,16,26723.34,2.1536018986330383,3.8891345608454846,119.86111111111111,164.33682401840292,258.1331164611545,639.1280219095531,897.2611383707076,29.783235735056575
MI300A,R26000,26000,20880,21,34869.6,2.8088524966889024,4.600804375889968,119.86111111111111,171.7373826229089,336.6721812003504,790.1301014753691,1126.8022826757194,30.945624211195412
MI300X,R1000,1000,784,1,1309.28,0.08519666040268746,0.5821765754504357,160.52083333333331,156.56650071123755,13.675838925056391,91.14934921432648,104.82518813938287,12.490127833198736
MI300X,R2000,2000,1521,2,2540.0699999999997,0.1580009810417235,0.6255912465357337,160.52083333333331,161.13344001896633,25.362449144301653,100.80366960005603,126.16611874435768,20.132742651351435
MI300X,R4000,4000,3080,4,5143.599999999999,0.3120063214437007,0.7124205887063296,160.52083333333331,170.2673186344239,50.0835147234107,121.30194337898449,171.3854581023952,30.01188115345776
MI300X,R8000,8000,6320,7,10554.4,0.6320687351078482,0.8426646019622236,160.52083333333331,183.96813655761025,101.4602000834577,155.02343656605063,256.48363664950836,41.15038346256321
MI300X,R12000,12000,9604,10,16038.679999999998,0.9564776753773114,0.9729086152181176,160.52083333333331,197.66895448079657,153.5345935162955,192.3138287755249,345.8484222918204,46.37488265442155
MI300X,R16000,16000,12656,13,21135.52,1.2579685662732927,1.1031526284740116,160.52083333333331,211.36977240398292,201.93016256532746,233.17312000740736,435.1032825727348,48.57586887193121
MI300X,R20000,20000,16002,16,26723.34,1.5885021576684277,1.2333966417299056,160.52083333333331,225.07059032716927,254.98769010073406,277.60131026169796,532.589000362432,50.176289750284944
MI300X,R26000,26000,20880,21,34869.6,2.0703739026850054,1.4504699971563955,160.52083333333331,247.90528686581314,332.3381441705826,359.5791807353114,691.917324905894,50.39561627502611
Max,R1000,1000,784,1,1309.28,0.08563733145292057,1.0461297223442474,279.92285714285714,311.6907150020834,23.971846498391393,326.0689211424094,350.0407676408008,3.7403643262019575
Max,R2000,2000,1521,2,2540.0699999999997,0.16723514498375416,1.2465475421202805,279.92285714285714,315.9300811205942,46.81293959855242,393.82186610273754,440.63480570128996,5.764569587183121
Max,R4000,4000,3080,4,5143.599999999999,0.3398416460618675,1.6473831816723468,279.92285714285714,324.40881335761594,95.12944454176956,534.4256231116199,629.5550676533894,8.170214591667591
Max,R8000,8000,6320,7,10554.4,0.6985620203358172,2.248636641000446,279.92285714285714,337.1269117131485,195.5434766238886,758.0759263455082,953.6194029693968,11.067727824261466
Max,R12000,12000,9604,10,16038.679999999998,1.0621539058653389,2.8498901003285453,279.92285714285714,349.84501006868106,297.321156055271,997.0198308440744,1294.3409868993454,12.39138693924961
Max,R16000,16000,12656,13,21135.52,1.4000596411382074,3.4511435596566447,279.92285714285714,362.5631084242136,391.90869491781024,1251.2573366073186,1643.1660315251288,12.862680699638585
Max,R20000,20000,16002,16,26723.34,1.7705159288914898,4.052397018984744,279.92285714285714,375.2812067797462,495.6078774322455,1520.7884436352406,2016.396321067486,13.253019617617923
Max,R26000,26000,20880,21,34869.6,2.310589381270603,5.05448611786491,279.92285714285714,396.47803737230043,646.7867812892136,2003.9927359366175,2650.779517225831,13.154470137332554
