gpu,runs,power_duration_mean_s,top_level_mean_s,boundary_delta_mean_s,avg_power_mean_w,max_power_max_w,energy_mean_j
A100,8,4.65625,3.6698556542396545,0.9863943457603457,53.0412662948856,246.64,270.04398749999996
B200,8,5.641249999999999,4.165764689445496,1.4754853105545043,203.7639266145746,265.66,1164.6719125
H200,8,3.42375,2.783013790845871,0.640736209154129,140.21120523892884,268.18,503.17136875
MI300A,8,8.311250000000001,6.310007840394974,2.0012421596050265,139.3856474293798,347.0,1170.110625
MI300X,8,4.46375,3.5909776091575623,0.8727723908424376,192.51343788294787,454.0,875.60375
Max,8,5.9875,5.328791379928589,0.6587086200714112,317.18333680922797,460.16,1894.7951125
