gpu,dataset,raw_images,batch_size,valid_points,grouped_samples,group_coords_s,write_image_tensors_s,load_diff3d_s,dataset_init_s,model_load_s,data_load_s,inference_s,assembly_s,log_file,power_duration_s,power_avg_w,power_min_w,power_max_w,power_energy_j,power_samples,power_csv,num_batches,image_resolution,input_channels,F_sample_gflops,total_gflops,io_core_s,top_level_s,core_latency_s,raw_to_grouped_ratio,grouped_per_raw,alpha_group_us_per_valid,beta_write_us_per_grouped,beta_write_s_per_element,beta_write_ns_per_element,gamma_io_us_per_grouped,power_minus_top_level_s
A100,R1000,1000,1024,784,784,0.100111,0.030625,0.015169,0.181382,0.94590163230896,0.18140888214111328,0.40038180351257324,0.02919149398803711,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R1000/bs1024.log,1.83,37.445454545454545,33.44,69.88,69.16475,11,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R1000/bs1024_power.csv,1,64,4,1.67,1309.28,0.13073600000000002,1.5568838119506836,0.5817906856536865,1.2755102040816326,0.784,127.69260204081633,39.0625,2.384185791015625e-09,2.384185791015625,166.75510204081635,0.2731161880493165
A100,R2000,2000,1024,1521,1521,0.196551,0.054154,0.027005,0.316139,0.9808139801025391,0.3161656856536865,0.43781304359436035,0.03429412841796875,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R2000/bs1024.log,2.23,40.00846153846154,34.59,75.0,87.674,13,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R2000/bs1024_power.csv,2,64,4,1.67,2540.0699999999997,0.250705,1.7690868377685547,0.7539787292480469,1.3149243918474687,0.7605,129.22485207100593,35.60420775805391,2.1731083836702827e-09,2.1731083836702827,164.82905982905982,0.4609131622314453
A100,R4000,4000,1024,3080,3080,0.397332,0.10147,0.047736,0.599563,1.3399193286895752,0.5995934009552002,0.5766012668609619,0.03659701347351074,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R4000/bs1024.log,3.04,49.10705882352941,33.33,235.38,151.67899999999997,17,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R4000/bs1024_power.csv,4,64,4,1.67,5143.599999999999,0.498802,2.552711009979248,1.176194667816162,1.2987012987012987,0.77,129.0038961038961,32.9448051948052,2.0107913326907467e-09,2.0107913326907467,161.9487012987013,0.487288990020752
A100,R8000,8000,1024,6320,6320,0.821135,0.204379,0.093264,1.174733,1.340451717376709,1.1747593879699707,0.7583959102630615,0.035759687423706055,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R8000/bs1024.log,4.03,52.21954545454546,33.42,243.34,214.53300000000004,22,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R8000/bs1024_power.csv,7,64,4,1.67,10554.4,1.025514,3.3093667030334473,1.9331552982330322,1.2658227848101267,0.79,129.9264240506329,32.33844936708861,1.9737823100029666e-09,1.9737823100029666,162.26487341772153,0.720633296966553
A100,R12000,12000,1024,9604,9604,1.226102,0.31789,0.139624,1.760356,0.9659309387207031,1.7603883743286133,0.9426548480987549,0.04289841651916504,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R12000/bs1024.log,4.63,59.76599999999999,33.33,217.83,283.17769999999996,25,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R12000/bs1024_power.csv,10,64,4,1.67,16038.679999999998,1.543992,3.7118725776672363,2.703043222427368,1.2494793835901707,0.8003333333333333,127.66576426488963,33.09975010412328,2.0202484194411182e-09,2.0202484194411183,160.76551436901292,0.9181274223327636
A100,R16000,16000,1024,12656,12656,1.627568,0.449304,0.184818,2.358587,0.9888839721679688,2.358621597290039,1.1254267692565918,0.04598569869995117,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R16000/bs1024.log,5.83,60.115483870967736,33.47,246.64,347.9336499999999,31,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R16000/bs1024_power.csv,13,64,4,1.67,21135.52,2.076872,4.518918037414551,3.484048366546631,1.2642225031605563,0.791,128.60050568900127,35.50126422250316,2.1668252088930152e-09,2.166825208893015,164.10176991150442,1.3110819625854493
A100,R20000,20000,1024,16002,16002,2.073715,0.587242,0.229356,2.976873,0.9853756427764893,2.9769041538238525,1.3151535987854004,0.0496826171875,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R20000/bs1024.log,7.03,58.769459459459455,33.7,223.12,419.49805000000003,37,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R20000/bs1024_power.csv,16,64,4,1.67,26723.34,2.660957,5.327116012573242,4.292057752609253,1.249843769528809,0.8001,129.5909886264217,36.69803774528184,2.239870467851675e-09,2.239870467851675,166.28902637170353,1.702883987426758
A100,R26000,26000,1024,20880,20880,2.876987,0.671852,0.298869,3.950297,0.977977991104126,3.950329542160034,1.6159319877624512,0.06865072250366211,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R26000/bs1024.log,8.63,66.89866666666667,33.52,243.76,586.6917500000001,45,/home/zhong.zheng/PtychoPINN/modeling_exp/A100/R26000/bs1024_power.csv,21,64,4,1.67,34869.6,3.548839,6.612890243530273,5.566261529922485,1.2452107279693487,0.803076923076923,137.78673371647508,32.176819923371646,1.9639172316511016e-09,1.9639172316511015,169.96355363984674,2.0171097564697273
B200,R1000,1000,1024,784,784,0.051261,0.093468,0.034548,0.211837,1.1036221981048584,0.21187639236450195,0.5703721046447754,0.048036813735961914,/home/zhong.zheng/PtychoPINN/modeling_exp/B200/R1000/bs1024.log,2.26,192.00076923076924,167.31,205.07,428.246,13,/home/zhong.zheng/PtychoPINN/modeling_exp/B200/R1000/bs1024_power.csv,1,64,4,1.67,1309.28,0.144729,1.9339075088500977,0.7822484970092773,1.2755102040816326,0.784,65.38392857142857,119.21938775510205,7.276573959661989e-09,7.276573959661989,184.6033163265306,0.32609249114990213
B200,R2000,2000,1024,1521,1521,0.099972,0.171331,0.033322,0.339725,1.2331678867340088,0.339752197265625,0.6033027172088623,0.06940579414367676,/home/zhong.zheng/PtychoPINN/modeling_exp/B200/R2000/bs1024.log,2.66,194.012,170.6,205.96,509.96200000000005,15,/home/zhong.zheng/PtychoPINN/modeling_exp/B200/R2000/bs1024_power.csv,2,64,4,1.67,2540.0699999999997,0.271303,2.245628595352173,0.9430549144744873,1.3149243918474687,0.7605,65.72781065088758,112.64365548980933,6.875223113391684e-09,6.875223113391684,178.3714661406969,0.4143714046478273
