Time(S),GPU0_Power(W)
0.06,198.36
0.06,198.37
0.26,198.38
0.46,198.38
0.66,198.26
0.86,198.04
1.06,197.96
1.26,197.93
1.46,197.96
1.66,197.91
1.86,194.4
2.06,184.5
2.26,174.46
2.46,164.18
2.66,154.48
2.86,146.56
3.06,145.76
3.26,145.15
3.46,144.68
3.66,144.56
3.86,144.46
4.06,144.31
4.26,144.22
4.46,144.15
4.66,144.06
4.86,143.93
5.06,143.89
5.26,143.86
5.46,143.87
5.67,143.84
5.87,143.84
6.07,143.78
6.27,143.73
6.47,143.72
6.67,143.76
6.87,143.82
7.07,143.86
7.27,143.9
7.47,143.83
7.72,143.96
8.04,143.98
8.24,152.26
8.44,162.25
8.64,172.52
8.84,183.81
9.04,194.55
9.24,197.97
9.44,197.81
9.64,197.78
9.84,197.74
10.04,197.71
10.24,197.76
10.44,197.73
10.64,197.68
10.84,197.65
11.04,197.67
11.24,197.74
11.44,197.89
11.64,198.19
11.84,199.51
12.04,200.18
12.24,200.98
12.44,202.34
12.64,203.82
12.84,203.15
13.04,202.72
13.24,202.66
13.44,202.29
13.64,201.5
13.84,201.46
14.04,202.56
14.24,203.51
14.44,203.41
14.64,202.85
14.84,203.39
15.04,201.87
15.24,200.09
15.44,199.47
15.64,198.83
15.84,197.84
16.04,197.8
16.24,197.82
16.44,197.8
16.64,197.79
16.84,197.8
17.04,197.8
