Time(S),GPU0_Power(W)
0.07,143.38
0.07,143.38
0.27,143.39
0.47,143.43
0.67,143.45
0.87,143.47
1.07,143.51
1.27,143.52
1.47,143.51
1.67,143.49
1.87,143.48
2.07,143.45
2.27,143.45
2.47,143.49
2.67,143.5
2.87,143.49
3.07,143.49
3.27,143.48
3.47,143.46
3.67,143.41
3.87,143.41
4.07,143.45
4.27,143.44
4.47,143.47
4.67,143.51
4.87,143.5
5.07,143.52
5.27,143.5
5.47,143.49
5.67,143.48
5.87,143.48
6.07,143.44
6.27,143.44
6.47,143.48
6.67,143.47
6.87,143.44
7.07,143.44
7.28,143.47
7.48,143.45
7.68,143.84
7.92,144.36
8.12,152.15
8.32,161.63
8.52,172.01
8.72,182.35
8.92,192.17
9.12,196.65
9.32,196.52
9.52,196.53
9.72,196.5
9.92,196.49
10.12,196.49
10.32,196.53
10.52,196.57
10.72,196.52
10.92,196.54
11.12,196.54
11.32,196.53
11.52,196.54
11.72,196.7
11.92,196.91
12.12,197.04
12.32,198.43
12.52,199.66
12.72,200.32
12.92,200.46
13.12,201.79
13.32,201.81
13.52,201.24
13.72,200.46
13.92,200.1
14.13,198.63
14.33,197.23
14.53,196.64
14.73,196.6
14.93,196.6
15.13,196.59
15.33,196.55
15.53,196.58
15.73,196.78
