Time(S),GPU0_Power(W)
0.03,34.51
0.03,34.51
0.23,34.62
0.43,34.53
0.63,34.7
0.83,34.69
1.03,34.69
1.23,34.69
1.43,32.76
1.63,32.67
1.83,32.66
2.03,32.57
2.23,32.67
2.43,32.57
2.63,32.58
2.83,32.57
3.03,32.67
3.23,32.57
3.43,32.67
3.63,32.57
3.83,32.57
4.03,32.64
4.23,32.62
4.43,32.51
4.63,32.6
4.83,32.49
5.03,32.68
5.23,32.58
5.43,32.58
5.63,32.58
5.83,32.58
6.03,32.58
6.23,32.67
6.43,32.67
6.63,32.67
6.83,32.67
7.03,32.67
7.23,32.67
7.43,32.67
7.63,32.67
7.83,32.67
8.03,32.67
8.23,32.77
8.43,32.58
8.63,32.58
8.83,32.58
9.03,32.58
9.23,32.58
9.43,32.58
9.63,32.58
9.83,32.58
10.03,32.58
10.23,32.67
10.43,32.58
10.63,33.26
10.83,32.58
11.03,32.58
11.23,32.58
11.43,32.58
11.63,32.58
11.83,32.58
12.03,32.67
12.23,36.83
12.43,34.7
12.63,34.7
12.83,34.62
13.03,34.7
13.23,34.7
13.43,34.7
13.63,34.7
13.83,34.7
14.03,34.7
14.23,34.7
14.43,34.62
14.63,34.72
14.83,34.61
15.03,34.7
15.23,34.7
15.43,34.7
15.63,34.7
15.83,34.68
16.03,34.68
16.23,34.6
16.43,34.7
16.63,34.7
16.83,34.7
17.03,34.61
17.23,34.72
17.43,34.61
17.63,34.7
17.83,34.81
18.03,34.81
18.23,34.8
18.43,34.7
18.63,34.7
18.83,34.7
19.03,34.7
19.24,34.81
19.44,34.81
19.64,34.7
19.84,34.81
20.04,34.72
20.24,34.7
20.44,34.7
20.64,34.7
20.84,34.72
21.04,34.81
21.24,34.8
21.44,34.61
21.64,34.8
21.84,34.61
22.04,34.7
22.24,34.81
22.44,34.8
22.64,34.8
22.84,34.61
23.04,34.8
23.24,34.72
23.44,34.7
23.64,34.81
23.84,34.81
24.04,34.81
24.24,34.7
24.44,34.8
24.64,34.7
24.84,34.72
25.04,34.91
25.24,34.7
25.44,34.61
25.64,34.7
25.84,34.81
26.04,34.91
26.24,34.7
26.44,34.7
26.64,34.81
26.84,34.81
27.04,34.91
27.24,35.26
27.44,34.8
27.64,34.78
27.84,36.05
28.04,39.32
28.24,40.87
28.44,41.25
28.64,40.01
28.84,37.11
29.04,35.0
29.24,34.91
29.44,34.81
29.64,34.9
29.84,34.9
30.04,34.99
30.24,34.9
30.44,35.47
30.64,36.62
30.84,34.81
31.07,35.67
31.27,34.8
31.47,34.81
31.67,34.7
31.87,34.79
32.07,34.7
32.27,34.79
32.47,34.81
32.67,35.19
32.87,36.05
33.07,39.72
33.27,41.84
33.47,41.06
33.67,39.43
33.87,35.96
34.07,34.7
34.27,34.9
34.47,34.8
34.67,34.89
34.87,34.9
35.07,34.8
35.27,35.09
35.47,35.19
35.67,36.14
35.87,39.33
36.07,41.16
36.27,41.73
36.47,39.81
36.67,36.52
36.87,35.19
37.07,35.27
37.27,35.38
37.47,41.83
37.67,42.03
37.87,40.2
38.07,38.45
38.27,34.81
38.47,34.91
38.67,34.72
38.87,34.79
39.07,34.51
39.27,34.51
39.47,34.7
39.67,34.81
39.87,35.0
40.07,35.65
40.27,38.07
40.47,40.86
40.67,40.69
40.87,40.87
41.07,39.03
41.27,34.61
41.47,34.61
41.67,34.61
41.87,34.51
42.07,34.7
42.27,34.6
42.47,34.6
42.67,34.91
42.87,35.28
43.07,36.53
43.27,40.58
43.47,41.44
43.67,41.55
43.87,39.53
44.07,35.65
44.27,34.51
44.47,34.7
44.67,34.6
44.87,34.7
45.07,34.7
45.27,34.6
45.47,34.81
45.67,35.0
45.87,35.95
46.07,38.46
46.27,40.94
46.47,41.07
46.67,40.29
46.87,39.04
47.07,34.7
47.27,34.7
47.47,34.61
47.67,34.6
47.87,34.6
48.07,34.69
48.27,34.7
48.47,34.81
48.67,35.09
48.87,36.14
49.07,38.84
49.27,40.97
49.47,41.26
49.67,40.78
49.87,37.97
50.07,34.7
50.27,34.51
50.47,34.61
50.67,34.7
50.87,34.6
51.07,34.7
51.27,34.7
51.47,39.03
51.67,38.95
51.87,34.7
52.07,34.7
52.27,34.91
52.47,41.07
52.67,35.59
52.87,34.7
53.07,34.6
53.27,34.81
53.47,41.25
53.67,37.29
53.87,34.7
54.07,34.6
54.28,34.7
54.48,36.14
54.68,40.29
54.88,34.7
55.08,34.7
55.28,34.6
55.48,34.7
55.68,34.7
55.88,34.69
56.08,34.71
56.28,34.81
56.48,35.08
56.68,35.95
56.88,38.65
57.08,40.97
57.28,40.01
57.48,39.33
57.68,34.89
57.88,34.71
58.08,34.81
58.28,34.81
58.48,34.9
58.68,34.99
58.88,34.99
59.08,35.18
59.28,35.46
59.48,34.7
59.68,34.7
59.88,34.7
60.08,34.6
60.28,34.7
60.48,34.7
60.68,34.81
60.88,35.09
61.08,36.24
61.28,39.13
61.48,41.17
61.68,41.84
61.88,40.77
62.08,37.69
62.28,34.7
62.48,34.7
62.68,34.8
62.88,34.61
63.08,34.7
63.28,34.6
63.48,34.81
63.68,34.81
63.88,35.19
64.08,36.05
64.28,38.84
64.48,40.67
64.68,41.74
64.88,40.87
65.08,37.6
65.28,34.7
65.48,34.7
65.68,34.7
65.88,34.7
66.08,34.7
66.28,34.79
66.48,34.7
66.68,34.9
66.88,35.19
67.08,36.33
67.28,39.53
67.48,40.97
67.68,41.35
67.88,40.29
68.08,36.63
68.28,34.7
68.48,34.7
68.68,34.7
68.88,34.61
69.08,34.62
69.28,34.7
69.48,34.69
69.68,34.91
69.88,35.27
70.08,36.92
70.28,41.93
70.48,41.07
70.68,40.2
70.88,39.43
71.08,34.7
71.28,34.8
71.48,34.76
71.68,34.69
71.88,34.56
72.08,34.83
72.28,34.72
72.48,34.81
72.68,35.38
72.88,37.01
73.08,41.82
73.28,40.87
73.48,40.11
73.68,34.7
73.88,34.7
74.08,34.7
74.28,34.7
74.48,34.7
74.68,34.71
74.88,34.7
75.08,34.9
75.28,35.38
75.48,36.91
75.68,41.54
75.88,41.05
76.08,40.19
76.28,39.14
76.48,34.79
76.68,34.7
76.88,34.7
77.08,34.7
77.28,34.71
77.48,34.7
77.68,34.81
77.88,34.81
78.08,41.83
78.28,34.7
78.48,34.61
78.68,34.8
78.88,41.06
79.08,40.97
79.28,38.84
79.48,35.0
79.68,34.81
79.88,34.91
80.08,34.88
80.28,34.89
80.48,34.9
80.68,34.99
80.88,35.19
81.08,35.56
81.28,36.33
81.48,34.7
81.68,34.71
81.89,34.79
82.09,34.72
82.29,34.81
82.49,34.9
82.69,35.19
82.89,35.96
83.09,38.56
83.29,40.57
83.49,41.06
83.69,40.78
83.89,38.95
84.09,34.7
84.29,34.7
84.49,34.7
84.69,34.7
84.89,34.7
85.09,34.79
85.29,34.81
85.49,34.9
85.69,35.19
85.89,35.86
86.09,38.16
86.29,40.67
86.49,40.77
86.69,40.19
86.89,38.54
87.09,34.9
87.29,34.8
87.49,34.81
87.69,34.8
87.89,34.81
88.09,34.9
88.29,34.9
88.49,34.8
88.69,35.19
88.89,35.86
89.09,37.97
89.29,41.44
89.49,40.57
89.69,39.81
89.89,38.94
90.09,35.47
90.29,34.91
90.49,34.8
90.69,34.91
90.89,34.81
91.09,34.8
91.29,34.81
91.49,34.9
91.69,34.91
91.89,35.27
92.09,35.95
92.29,38.26
92.49,41.25
92.69,40.48
92.89,40.11
93.09,38.94
93.29,34.7
93.49,34.81
93.69,34.9
93.89,34.9
94.09,34.79
94.29,34.7
94.49,34.91
94.69,34.9
94.89,35.09
95.09,35.56
95.29,36.72
95.49,40.58
95.69,41.06
95.89,41.25
96.09,40.97
96.29,36.8
96.49,34.72
96.69,34.81
96.89,34.81
97.09,34.91
97.29,34.9
97.49,34.81
97.69,34.71
97.89,34.9
98.09,35.18
98.29,35.65
98.49,37.11
98.69,41.06
98.89,41.63
99.09,41.83
99.29,39.71
99.49,36.62
99.69,34.85
99.89,34.82
100.09,34.81
100.29,34.94
100.49,34.92
100.69,34.91
100.89,34.9
101.09,35.0
101.29,35.18
101.49,35.56
101.69,36.81
101.89,39.82
102.09,40.86
102.29,41.25
102.49,40.87
102.69,39.13
102.89,35.09
103.09,35.37
103.29,36.33
103.49,39.03
103.69,40.86
103.89,40.95
104.09,40.38
104.29,38.75
104.49,34.91
104.69,34.91
104.89,34.81
105.09,34.79
105.29,34.81
105.49,34.9
105.69,34.91
105.89,35.0
106.09,35.0
106.29,35.66
106.49,37.5
106.69,42.03
106.89,40.98
107.09,40.38
