Time(S),GPU0_Power(W),GPU1_Power(W),GPU2_Power(W),GPU3_Power(W)
0.00,132.0,128.0,147.0,133.0
0.00,132.0,128.0,147.0,133.0
0.20,102.0,96.0,117.0,131.0
0.40,85.0,77.0,96.0,101.0
0.60,110.0,104.0,119.0,133.0
0.80,130.0,98.0,113.0,133.0
1.00,132.0,78.0,95.0,134.0
1.20,90.0,75.0,123.0,131.0
1.40,83.0,75.0,138.0,130.0
1.60,82.0,75.0,140.0,130.0
1.80,114.0,75.0,141.0,130.0
2.00,86.0,75.0,142.0,124.0
2.20,84.0,75.0,142.0,116.0
2.40,125.0,75.0,141.0,88.0
2.60,88.0,75.0,140.0,84.0
2.80,83.0,75.0,141.0,84.0
3.00,82.0,75.0,141.0,84.0
3.20,82.0,75.0,141.0,84.0
3.40,82.0,74.0,141.0,84.0
3.60,82.0,75.0,141.0,84.0
3.80,127.0,111.0,144.0,115.0
4.00,88.0,79.0,142.0,88.0
4.20,83.0,75.0,141.0,84.0
4.40,82.0,75.0,140.0,84.0
4.60,82.0,75.0,142.0,84.0
4.80,82.0,75.0,141.0,84.0
5.00,82.0,75.0,142.0,83.0
5.20,82.0,75.0,141.0,83.0
5.40,99.0,76.0,142.0,84.0
5.60,94.0,75.0,144.0,84.0
5.80,83.0,75.0,145.0,83.0
6.00,82.0,75.0,145.0,83.0
6.20,82.0,75.0,145.0,84.0
6.40,82.0,75.0,145.0,84.0
6.60,82.0,75.0,144.0,84.0
6.80,82.0,75.0,145.0,84.0
7.00,82.0,75.0,145.0,84.0
7.20,82.0,75.0,144.0,83.0
7.40,82.0,75.0,145.0,83.0
7.60,82.0,75.0,146.0,83.0
7.80,82.0,75.0,145.0,83.0
8.00,82.0,75.0,145.0,83.0
8.20,82.0,75.0,146.0,83.0
8.40,82.0,75.0,144.0,83.0
8.60,82.0,75.0,144.0,83.0
8.80,82.0,75.0,145.0,83.0
9.00,82.0,75.0,145.0,83.0
9.20,82.0,75.0,145.0,83.0
9.40,82.0,75.0,144.0,83.0
9.60,82.0,74.0,144.0,83.0
9.80,82.0,74.0,144.0,83.0
10.00,82.0,98.0,145.0,83.0
10.20,82.0,82.0,145.0,83.0
10.40,82.0,75.0,141.0,121.0
10.60,82.0,75.0,141.0,129.0
10.80,82.0,75.0,141.0,130.0
11.00,82.0,75.0,140.0,103.0
11.20,82.0,75.0,140.0,86.0
11.40,82.0,75.0,140.0,84.0
11.60,82.0,75.0,141.0,83.0
11.81,110.0,75.0,142.0,83.0
12.01,124.0,106.0,143.0,83.0
12.21,88.0,79.0,143.0,83.0
12.41,83.0,75.0,143.0,83.0
12.61,82.0,75.0,143.0,83.0
12.81,82.0,74.0,143.0,83.0
13.01,82.0,75.0,143.0,83.0
13.21,82.0,75.0,143.0,83.0
13.41,82.0,75.0,144.0,83.0
13.61,126.0,122.0,133.0,112.0
13.81,112.0,106.0,117.0,106.0
14.01,123.0,129.0,136.0,100.0
14.21,131.0,136.0,150.0,122.0
14.41,133.0,129.0,103.0,129.0
14.61,134.0,128.0,94.0,101.0
14.81,133.0,87.0,109.0,86.0
15.01,134.0,76.0,135.0,91.0
15.21,134.0,118.0,104.0,101.0
15.41,134.0,127.0,99.0,86.0
15.61,134.0,91.0,134.0,84.0
15.81,137.0,93.0,146.0,94.0
16.01,134.0,123.0,113.0,96.0
16.21,134.0,127.0,95.0,85.0
16.41,133.0,122.0,93.0,84.0
16.61,134.0,112.0,124.0,83.0
16.81,134.0,115.0,116.0,115.0
17.01,134.0,126.0,95.0,88.0
17.53,133.0,76.0,139.0,130.0
17.73,135.0,100.0,141.0,130.0
17.93,135.0,121.0,132.0,119.0
18.13,134.0,127.0,98.0,88.0
18.33,134.0,127.0,93.0,84.0
18.53,134.0,127.0,92.0,83.0
18.73,134.0,82.0,92.0,83.0
18.93,134.0,76.0,111.0,83.0
19.13,134.0,85.0,134.0,107.0
19.33,134.0,122.0,124.0,127.0
19.53,106.0,97.0,103.0,109.0
19.73,124.0,113.0,94.0,87.0
19.93,133.0,126.0,118.0,84.0
20.13,134.0,82.0,124.0,83.0
20.33,108.0,75.0,114.0,83.0
20.54,120.0,75.0,130.0,83.0
20.74,132.0,75.0,138.0,83.0
20.94,134.0,75.0,139.0,83.0
21.14,135.0,101.0,129.0,103.0
21.34,134.0,78.0,97.0,86.0
21.54,133.0,75.0,93.0,84.0
21.74,113.0,75.0,92.0,83.0
21.94,131.0,75.0,92.0,83.0
22.14,132.0,75.0,92.0,83.0
22.34,131.0,112.0,92.0,83.0
22.54,133.0,125.0,92.0,117.0
22.74,95.0,84.0,92.0,99.0
22.94,126.0,76.0,92.0,85.0
23.14,114.0,75.0,110.0,84.0
23.34,130.0,75.0,118.0,83.0
23.54,125.0,75.0,127.0,83.0
23.74,133.0,75.0,137.0,88.0
23.94,108.0,74.0,105.0,109.0
24.14,122.0,108.0,94.0,87.0
24.34,105.0,95.0,93.0,84.0
24.54,124.0,116.0,92.0,83.0
24.74,98.0,96.0,92.0,83.0
24.94,126.0,101.0,92.0,83.0
25.14,133.0,113.0,124.0,83.0
25.34,133.0,80.0,137.0,83.0
25.54,135.0,115.0,141.0,117.0
25.74,134.0,80.0,100.0,101.0
25.94,134.0,100.0,93.0,86.0
26.14,133.0,84.0,106.0,84.0
26.34,134.0,76.0,134.0,99.0
26.54,134.0,119.0,116.0,115.0
26.74,134.0,126.0,108.0,88.0
26.94,133.0,87.0,135.0,84.0
27.14,137.0,104.0,145.0,104.0
27.34,134.0,88.0,108.0,126.0
27.54,134.0,98.0,94.0,100.0
27.74,133.0,96.0,93.0,86.0
27.94,133.0,78.0,127.0,83.0
28.14,134.0,107.0,137.0,112.0
28.34,134.0,125.0,105.0,87.0
28.54,134.0,107.0,129.0,87.0
28.74,134.0,79.0,138.0,95.0
28.94,135.0,119.0,131.0,122.0
29.14,134.0,84.0,98.0,129.0
29.34,133.0,113.0,93.0,130.0
29.54,133.0,87.0,93.0,130.0
29.74,134.0,81.0,132.0,130.0
29.94,134.0,122.0,137.0,101.0
30.14,134.0,97.0,141.0,86.0
30.34,133.0,91.0,142.0,101.0
30.54,133.0,77.0,141.0,86.0
30.74,133.0,75.0,139.0,84.0
30.94,133.0,75.0,139.0,83.0
31.14,133.0,75.0,138.0,83.0
31.34,133.0,75.0,139.0,83.0
31.54,133.0,75.0,139.0,83.0
31.74,133.0,75.0,139.0,83.0
31.94,133.0,75.0,139.0,83.0
32.14,133.0,75.0,139.0,83.0
32.34,133.0,75.0,138.0,83.0
32.54,133.0,75.0,139.0,83.0
32.74,133.0,75.0,139.0,83.0
32.94,133.0,75.0,139.0,83.0
33.14,133.0,74.0,139.0,83.0
33.34,133.0,75.0,139.0,83.0
33.54,133.0,75.0,139.0,83.0
33.74,133.0,75.0,139.0,83.0
33.94,133.0,75.0,139.0,83.0
34.14,133.0,74.0,139.0,83.0
34.34,133.0,75.0,139.0,83.0
34.54,133.0,75.0,139.0,83.0
34.74,133.0,75.0,139.0,83.0
34.94,133.0,75.0,139.0,83.0
35.14,133.0,75.0,139.0,83.0
35.34,133.0,74.0,139.0,83.0
35.54,133.0,75.0,139.0,83.0
35.74,133.0,75.0,139.0,83.0
35.94,133.0,75.0,139.0,83.0
36.14,133.0,75.0,139.0,83.0
36.34,133.0,74.0,139.0,83.0
36.54,133.0,74.0,139.0,83.0
36.74,133.0,74.0,139.0,83.0
36.94,133.0,74.0,139.0,83.0
37.14,133.0,74.0,139.0,83.0
37.34,133.0,74.0,139.0,83.0
